nop,$\mu_{m}$,success_rate,avg_pvalue,Wrong_ranking_cost_without_no,Wrong_ranking_cost_with_no_proportion
5,1260,0.932,0.04912663514896244,0.041450000000000015,0.013999999999999969
5,1280,0.914,0.06184618046873917,0.040649999999999985,0.013699999999999971
5,1300,0.922,0.055536572457221156,0.041449999999999994,0.010999999999999977
5,1320,0.915,0.05449052812474633,0.04084999999999995,0.011399999999999981
5,1340,0.928,0.060982597651808954,0.04514999999999995,0.01749999999999998
5,1360,0.916,0.048622900142653275,0.04114999999999994,0.011899999999999977
5,1380,0.925,0.05363473257449393,0.037000000000000074,0.011899999999999975
5,1400,0.925,0.05332859346245823,0.03700000000000004,0.011799999999999977
5,1420,0.933,0.051337673158341944,0.03899999999999998,0.011599999999999978
5,1440,0.939,0.04878312293252557,0.0348000000000001,0.011399999999999976
5,1460,0.923,0.05453659738042958,0.03620000000000009,0.011699999999999976
5,1480,0.927,0.056558948983346236,0.03670000000000009,0.01389999999999997
5,1500,0.93,0.043506108759825274,0.0355000000000001,0.008599999999999986
5,1520,0.935,0.038858070281359076,0.03755000000000003,0.011599999999999977
5,1540,0.919,0.05805339115231052,0.036850000000000056,0.011399999999999978
5,1560,0.948,0.042480182559535604,0.035250000000000135,0.011699999999999976
5,1580,0.925,0.04060072823004048,0.03625000000000009,0.009799999999999982
5,1600,0.929,0.04261067777244899,0.032250000000000195,0.010199999999999982
5,1620,0.931,0.04987470420550554,0.03395000000000015,0.011699999999999978
5,1640,0.941,0.050482095223124926,0.03270000000000018,0.011699999999999976
5,1660,0.939,0.04940234921489299,0.029800000000000177,0.010599999999999983
5,1680,0.934,0.050476114854696205,0.033350000000000164,0.010999999999999979
5,1700,0.957,0.03346782983170582,0.03230000000000016,0.009899999999999982
5,1720,0.936,0.04818973749315991,0.031000000000000166,0.011599999999999975
5,1740,0.934,0.04933286198349338,0.031300000000000175,0.010899999999999981
5,1760,0.945,0.04572743208501524,0.029200000000000174,0.008599999999999988
5,1780,0.943,0.048760792935306496,0.030200000000000192,0.00989999999999998
5,1800,0.941,0.046918681444142914,0.03205000000000018,0.01139999999999998
5,1820,0.952,0.04641724065093737,0.03200000000000019,0.011199999999999979
5,1840,0.947,0.04224851798150521,0.029100000000000167,0.009499999999999982
5,1860,0.95,0.04017694066364602,0.02710000000000016,0.009599999999999984
5,1880,0.946,0.042410090026997894,0.031200000000000165,0.011599999999999982
5,1900,0.942,0.04919547659655599,0.029700000000000178,0.010899999999999977
5,1920,0.969,0.038996066352898776,0.027150000000000167,0.007799999999999988
5,1940,0.954,0.03997347775819513,0.029250000000000175,0.009099999999999985
5,1960,0.962,0.03505468772458913,0.02905000000000016,0.009099999999999985
5,1980,0.952,0.04467249394203086,0.027650000000000167,0.010699999999999982
10,500,0.767,0.12710294073043002,0.08867777777777816,0.021844444444444378
10,520,0.76,0.13596086096238794,0.08674444444444487,0.02104444444444438
10,540,0.758,0.13703402565474584,0.0816444444444448,0.02127777777777771
10,560,0.765,0.13038211616833417,0.08253333333333386,0.02096666666666661
10,580,0.793,0.11464369263988236,0.07912222222222284,0.0188555555555555
10,600,0.784,0.1325766548056195,0.0759444444444449,0.019511111111111052
10,620,0.826,0.11417949658570561,0.07563333333333389,0.01995555555555549
10,640,0.801,0.123941272365902,0.07467777777777823,0.018511111111111055
10,660,0.836,0.10527153047148141,0.07304444444444497,0.01801111111111106
10,680,0.841,0.0958652787425605,0.06828888888888932,0.016622222222222174
10,700,0.826,0.1127744271731861,0.06832222222222266,0.017044444444444393
10,720,0.839,0.10944148207433703,0.06637777777777824,0.016933333333333283
10,740,0.856,0.11068339584462968,0.0655000000000005,0.017199999999999948
