,muh,mux,success_rate
405,0.7,4.8,0.11
406,0.7,4.9,0.096
407,0.7,5.0,0.122
408,0.8,0.0,0.798
409,0.8,0.1,0.76
410,0.8,0.2,0.78
411,0.8,0.3,0.758
412,0.8,0.4,0.754
413,0.8,0.5,0.732
414,0.8,0.6,0.738
415,0.8,0.7,0.792
416,0.8,0.8,0.77
417,0.8,0.9,0.796
418,0.8,1.0,0.81
419,0.8,1.1,0.752
420,0.8,1.2,0.702
421,0.8,1.3,0.684
422,0.8,1.4,0.734
423,0.8,1.5,0.702
424,0.8,1.6,0.718
425,0.8,1.7,0.704
426,0.8,1.8,0.754
427,0.8,1.9,0.766
428,0.8,2.0,0.74
429,0.8,2.1,0.66
430,0.8,2.2,0.648
431,0.8,2.3,0.596
432,0.8,2.4,0.582
433,0.8,2.5,0.516
434,0.8,2.6,0.46
435,0.8,2.7,0.388
436,0.8,2.8,0.404
437,0.8,2.9,0.34
438,0.8,3.0,0.304
439,0.8,3.1,0.296
440,0.8,3.2,0.27
441,0.8,3.3,0.242
442,0.8,3.4,0.206
443,0.8,3.5,0.214
444,0.8,3.6,0.186
445,0.8,3.7,0.168
446,0.8,3.8,0.19
447,0.8,3.9,0.158
448,0.8,4.0,0.132
449,0.8,4.1,0.168
450,0.8,4.2,0.144
451,0.8,4.3,0.12
452,0.8,4.4,0.15
453,0.8,4.5,0.108
454,0.8,4.6,0.124
455,0.8,4.7,0.12
456,0.8,4.8,0.09
457,0.8,4.9,0.102
458,0.8,5.0,0.114
459,0.9,0.0,0.764
460,0.9,0.1,0.772
461,0.9,0.2,0.776
462,0.9,0.3,0.736
463,0.9,0.4,0.746
464,0.9,0.5,0.754
465,0.9,0.6,0.796
466,0.9,0.7,0.79
467,0.9,0.8,0.8
468,0.9,0.9,0.79
469,0.9,1.0,0.794
470,0.9,1.1,0.79
471,0.9,1.2,0.786
472,0.9,1.3,0.74
473,0.9,1.4,0.728
474,0.9,1.5,0.726
475,0.9,1.6,0.714
476,0.9,1.7,0.694
477,0.9,1.8,0.716
478,0.9,1.9,0.73
