,muh1,muh2,mux1,mux2,success_rate
17609,4.7,9.4,8.2,16.4,0.167
17610,4.7,9.4,8.3,16.6,0.175
17611,4.7,9.4,8.4,16.8,0.181
17612,4.7,9.4,8.5,17.0,0.136
17613,4.7,9.4,8.6,17.2,0.157
17614,4.7,9.4,8.7,17.4,0.13
17615,4.7,9.4,8.8,17.6,0.146
17616,4.7,9.4,8.9,17.8,0.151
17617,4.7,9.4,9.0,18.0,0.107
17618,4.7,9.4,9.1,18.2,0.124
17619,4.7,9.4,9.2,18.4,0.133
17620,4.7,9.4,9.3,18.6,0.123
17621,4.7,9.4,9.4,18.8,0.13
17622,4.7,9.4,9.5,19.0,0.126
17623,4.7,9.4,9.6,19.2,0.114
17624,4.7,9.4,9.7,19.4,0.118
17625,4.7,9.4,9.8,19.6,0.115
17626,4.7,9.4,9.9,19.8,0.103
17627,4.7,9.4,10.0,20.0,0.097
17628,4.7,9.4,10.1,20.2,0.111
17629,4.7,9.4,10.2,20.4,0.098
17630,4.7,9.4,10.3,20.6,0.121
17631,4.7,9.4,10.4,20.8,0.085
17632,4.7,9.4,10.5,21.0,0.109
17633,4.7,9.4,10.6,21.2,0.096
17634,4.7,9.4,10.7,21.4,0.103
17635,4.7,9.4,10.8,21.6,0.105
17636,4.7,9.4,10.9,21.8,0.101
17637,4.7,9.4,11.0,22.0,0.11
17638,4.7,9.4,11.1,22.2,0.109
17639,4.7,9.4,11.2,22.4,0.118
17640,4.7,9.4,11.3,22.6,0.101
17641,4.7,9.4,11.4,22.8,0.106
17642,4.7,9.4,11.5,23.0,0.101
17643,4.7,9.4,11.6,23.2,0.117
17644,4.7,9.4,11.7,23.4,0.101
17645,4.7,9.4,11.8,23.6,0.099
17646,4.7,9.4,11.9,23.8,0.097
17647,4.7,9.4,12.0,24.0,0.096
17648,4.7,9.4,12.1,24.2,0.086
17649,4.7,9.4,12.2,24.4,0.101
17650,4.7,9.4,12.3,24.6,0.088
17651,4.7,9.4,12.4,24.8,0.098
17652,4.7,9.4,12.5,25.0,0.094
17653,4.7,9.4,12.6,25.2,0.096
17654,4.7,9.4,12.7,25.4,0.1
17655,4.7,9.4,12.8,25.6,0.096
17656,4.7,9.4,12.9,25.8,0.106
17657,4.7,9.4,13.0,26.0,0.1
17658,4.7,9.4,13.1,26.2,0.098
17659,4.7,9.4,13.2,26.4,0.103
17660,4.7,9.4,13.3,26.6,0.107
17661,4.7,9.4,13.4,26.8,0.104
17662,4.7,9.4,13.5,27.0,0.09
17663,4.7,9.4,13.6,27.2,0.094
17664,4.7,9.4,13.7,27.4,0.102
17665,4.7,9.4,13.8,27.6,0.106
17666,4.7,9.4,13.9,27.8,0.113
17667,4.7,9.4,14.0,28.0,0.112
17668,4.7,9.4,14.1,28.2,0.109
17669,4.7,9.4,14.2,28.4,0.109
17670,4.7,9.4,14.3,28.6,0.121
17671,4.7,9.4,14.4,28.8,0.097
17672,4.7,9.4,14.5,29.0,0.096
17673,4.7,9.4,14.6,29.2,0.106
17674,4.7,9.4,14.7,29.4,0.125
17675,4.7,9.4,14.8,29.6,0.103
17676,4.7,9.4,14.9,29.8,0.099
17677,4.7,9.4,15.0,30.0,0.083
17678,4.7,9.4,15.1,30.2,0.094
17679,4.7,9.4,15.2,30.4,0.084
17680,4.7,9.4,15.3,30.6,0.104
17681,4.7,9.4,15.4,30.8,0.111
17682,4.7,9.4,15.5,31.0,0.132
17683,4.7,9.4,15.6,31.2,0.113
17684,4.7,9.4,15.7,31.4,0.104
17685,4.7,9.4,15.8,31.6,0.108
17686,4.7,9.4,15.9,31.8,0.1
17687,4.7,9.4,16.0,32.0,0.098
17688,4.8,9.6,-4.0,-8.0,0.096
17689,4.8,9.6,-3.9,-7.8,0.092
17690,4.8,9.6,-3.8,-7.6,0.112
17691,4.8,9.6,-3.7,-7.4,0.107
17692,4.8,9.6,-3.6,-7.2,0.1
17693,4.8,9.6,-3.5,-7.0,0.078
17694,4.8,9.6,-3.4,-6.8,0.106
17695,4.8,9.6,-3.3,-6.6,0.098
17696,4.8,9.6,-3.2,-6.4,0.095
17697,4.8,9.6,-3.1,-6.2,0.093
17698,4.8,9.6,-3.0,-6.0,0.113
17699,4.8,9.6,-2.9,-5.8,0.082
17700,4.8,9.6,-2.8,-5.6,0.096
17701,4.8,9.6,-2.7,-5.4,0.096
17702,4.8,9.6,-2.6,-5.2,0.098
17703,4.8,9.6,-2.5,-5.0,0.102
17704,4.8,9.6,-2.4,-4.8,0.095
17705,4.8,9.6,-2.3,-4.6,0.114
17706,4.8,9.6,-2.2,-4.4,0.106
17707,4.8,9.6,-2.1,-4.2,0.101
17708,4.8,9.6,-2.0,-4.0,0.098
17709,4.8,9.6,-1.9,-3.8,0.105
17710,4.8,9.6,-1.8,-3.6,0.119
17711,4.8,9.6,-1.7,-3.4,0.084
17712,4.8,9.6,-1.6,-3.2,0.09
17713,4.8,9.6,-1.5,-3.0,0.102
17714,4.8,9.6,-1.4,-2.8,0.098
17715,4.8,9.6,-1.3,-2.6,0.109
