$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
7.6,7.6,-3.8,-1.7999999999999998,0.098
-2.7,-2.7,-4.0,-2.0,0.838
9.8,9.8,-2.3,-0.2999999999999998,0.114
8.5,8.5,-3.3,-1.2999999999999998,0.103
12.6,12.6,-0.3,1.7,0.114
11.8,11.8,-0.8,1.2,0.098
0.1,0.1,-2.0,0.0,0.764
2.9,2.9,0.0,2.0,0.63
3.7,3.7,0.5,2.5,0.533
0.9,0.9,-1.5,0.5,0.736
-1.9,-1.9,-3.5,-1.5,0.833
13.4,13.4,0.2,2.2,0.103
-0.5,-0.5,-2.5,-0.5,0.821
14.0,14.0,0.7,2.7,0.114
11.2,11.2,-1.3,0.7,0.114
1.5,1.5,-1.0,1.0,0.738
2.5,2.5,-0.5,1.5,0.609
9.2,9.2,-2.8,-0.7999999999999998,0.103
0.2,0.2,-2.0,0.0,0.804
-1.2,-1.2,-3.0,-1.0,0.804
10.6,10.6,-1.8,0.19999999999999996,0.103
7.7,7.7,-3.8,-1.7999999999999998,0.114
-1.8,-1.8,-3.5,-1.5,0.833
-2.6,-2.6,-4.0,-2.0,0.848
8.6,8.6,-3.3,-1.2999999999999998,0.102
14.1,14.1,0.7,2.7,0.103
3.8,3.8,0.5,2.5,0.525
12.7,12.7,-0.3,1.7,0.103
13.5,13.5,0.2,2.2,0.102
9.9,9.9,-2.3,-0.2999999999999998,0.103
11.9,11.9,-0.8,1.2,0.114
3.0,3.0,0.0,2.0,0.596
11.3,11.3,-1.3,0.7,0.103
1.0,1.0,-1.5,0.5,0.744
-0.4,-0.4,-2.5,-0.5,0.78
1.6,1.6,-1.0,1.0,0.697
2.6,2.6,-0.5,1.5,0.543
0.3,0.3,-2.0,0.0,0.772
-1.1,-1.1,-3.0,-1.0,0.82
14.2,14.2,0.7,2.7,0.102
10.7,10.7,-1.8,0.19999999999999996,0.102
-2.5,-2.5,-4.0,-2.0,0.858
9.3,9.3,-2.8,-0.7999999999999998,0.102
8.7,8.7,-3.3,-1.2999999999999998,0.088
-1.7,-1.7,-3.5,-1.5,0.82
7.8,7.8,-3.8,-1.7999999999999998,0.103
13.6,13.6,0.2,2.2,0.088
12.8,12.8,-0.3,1.7,0.102
3.9,3.9,0.5,2.5,0.441
10.0,10.0,-2.3,-0.2999999999999998,0.102
3.1,3.1,0.0,2.0,0.62
12.0,12.0,-0.8,1.2,0.103
-0.3,-0.3,-2.5,-0.5,0.748
1.7,1.7,-1.0,1.0,0.713
1.1,1.1,-1.5,0.5,0.736
0.4,0.4,-2.0,0.0,0.75
11.4,11.4,-1.3,0.7,0.102
9.4,9.4,-2.8,-0.7999999999999998,0.088
2.7,2.7,-0.5,1.5,0.534
10.8,10.8,-1.8,0.19999999999999996,0.088
-1.0,-1.0,-3.0,-1.0,0.791
14.3,14.3,0.7,2.7,0.088
13.7,13.7,0.2,2.2,0.093
3.2,3.2,0.0,2.0,0.544
8.8,8.8,-3.3,-1.2999999999999998,0.093
-2.4,-2.4,-4.0,-2.0,0.823
7.9,7.9,-3.8,-1.7999999999999998,0.102
1.8,1.8,-1.0,1.0,0.666
4.0,4.0,0.5,2.5,0.417
10.1,10.1,-2.3,-0.2999999999999998,0.088
-1.6,-1.6,-3.5,-1.5,0.78
0.5,0.5,-2.0,0.0,0.74
12.9,12.9,-0.3,1.7,0.088
12.1,12.1,-0.8,1.2,0.102
10.9,10.9,-1.8,0.19999999999999996,0.093
14.4,14.4,0.7,2.7,0.093
-0.2,-0.2,-2.5,-0.5,0.763
1.2,1.2,-1.5,0.5,0.694
11.5,11.5,-1.3,0.7,0.088
3.3,3.3,0.0,2.0,0.458
8.0,8.0,-3.8,-1.7999999999999998,0.088
9.5,9.5,-2.8,-0.7999999999999998,0.093
1.9,1.9,-1.0,1.0,0.647
8.9,8.9,-3.3,-1.2999999999999998,0.106
0.6,0.6,-2.0,0.0,0.706
2.8,2.8,-0.5,1.5,0.491
-0.9,-0.9,-3.0,-1.0,0.804
13.8,13.8,0.2,2.2,0.106
-2.3,-2.3,-4.0,-2.0,0.82
11.0,11.0,-1.8,0.19999999999999996,0.106
4.1,4.1,0.5,2.5,0.42
8.1,8.1,-3.8,-1.7999999999999998,0.093
-1.5,-1.5,-3.5,-1.5,0.808
10.2,10.2,-2.3,-0.2999999999999998,0.093
13.0,13.0,-0.3,1.7,0.093
14.5,14.5,0.7,2.7,0.106
3.4,3.4,0.0,2.0,0.47
12.2,12.2,-0.8,1.2,0.088
13.9,13.9,0.2,2.2,0.106
11.1,11.1,-1.8,0.19999999999999996,0.106
11.6,11.6,-1.3,0.7,0.093
-0.1,-0.1,-2.5,-0.5,0.749
1.3,1.3,-1.5,0.5,0.678
2.0,2.0,-1.0,1.0,0.594
9.6,9.6,-2.8,-0.7999999999999998,0.106
9.0,9.0,-3.3,-1.2999999999999998,0.106
8.2,8.2,-3.8,-1.7999999999999998,0.106
-0.8,-0.8,-3.0,-1.0,0.772
2.9,2.9,-0.5,1.5,0.47
0.7,0.7,-2.0,0.0,0.693
-2.2,-2.2,-4.0,-2.0,0.824
4.2,4.2,0.5,2.5,0.337
10.3,10.3,-2.3,-0.2999999999999998,0.106
14.6,14.6,0.7,2.7,0.106
11.2,11.2,-1.8,0.19999999999999996,0.106
-1.4,-1.4,-3.5,-1.5,0.79
13.1,13.1,-0.3,1.7,0.106
12.3,12.3,-0.8,1.2,0.093
1.4,1.4,-1.5,0.5,0.634
3.5,3.5,0.0,2.0,0.412
8.3,8.3,-3.8,-1.7999999999999998,0.106
14.0,14.0,0.2,2.2,0.106
0.0,0.0,-2.5,-0.5,0.718
11.7,11.7,-1.3,0.7,0.106
10.4,10.4,-2.3,-0.2999999999999998,0.106
2.1,2.1,-1.0,1.0,0.556
-2.1,-2.1,-4.0,-2.0,0.829
