,$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
8857,3.48,6.96,2.8,2.8,0.792
8858,3.48,6.96,2.84,2.84,0.798
8859,3.48,6.96,2.88,2.88,0.811
8860,3.48,6.96,2.92,2.92,0.803
8861,3.48,6.96,2.96,2.96,0.799
8862,3.48,6.96,3,3,0.81
8863,3.48,6.96,3.04,3.04,0.821
8864,3.48,6.96,3.08,3.08,0.806
8865,3.48,6.96,3.12,3.12,0.824
8866,3.48,6.96,3.16,3.16,0.835
8867,3.48,6.96,3.2,3.2,0.819
8868,3.48,6.96,3.24,3.24,0.801
8869,3.48,6.96,3.28,3.28,0.827
8870,3.48,6.96,3.32,3.32,0.817
8871,3.48,6.96,3.36,3.36,0.819
8872,3.48,6.96,3.4,3.4,0.796
8873,3.48,6.96,3.44,3.44,0.819
8874,3.48,6.96,3.48,3.48,0.828
8875,3.48,6.96,3.52,3.52,0.827
8876,3.48,6.96,3.56,3.56,0.806
8877,3.48,6.96,3.6,3.6,0.843
8878,3.48,6.96,3.64,3.64,0.834
8879,3.48,6.96,3.68,3.68,0.841
8880,3.48,6.96,3.72,3.72,0.818
8881,3.48,6.96,3.76,3.76,0.812
8882,3.48,6.96,3.8,3.8,0.823
8883,3.48,6.96,3.84,3.84,0.839
8884,3.48,6.96,3.88,3.88,0.833
8885,3.48,6.96,3.92,3.92,0.832
8886,3.48,6.96,3.96,3.96,0.829
8887,3.48,6.96,4,4,0.832
8888,3.52,7.04,0,0,0.108
8889,3.52,7.04,0.04,0.04,0.116
8890,3.52,7.04,0.08,0.08,0.145
8891,3.52,7.04,0.12,0.12,0.167
8892,3.52,7.04,0.16,0.16,0.187
8893,3.52,7.04,0.2,0.2,0.207
8894,3.52,7.04,0.24,0.24,0.223
8895,3.52,7.04,0.28,0.28,0.261
8896,3.52,7.04,0.32,0.32,0.283
8897,3.52,7.04,0.36,0.36,0.306
8898,3.52,7.04,0.4,0.4,0.312
8899,3.52,7.04,0.44,0.44,0.347
8900,3.52,7.04,0.48,0.48,0.374
8901,3.52,7.04,0.52,0.52,0.387
8902,3.52,7.04,0.56,0.56,0.426
8903,3.52,7.04,0.6,0.6,0.444
8904,3.52,7.04,0.64,0.64,0.455
8905,3.52,7.04,0.68,0.68,0.48
8906,3.52,7.04,0.72,0.72,0.501
8907,3.52,7.04,0.76,0.76,0.523
8908,3.52,7.04,0.8,0.8,0.526
8909,3.52,7.04,0.84,0.84,0.54
8910,3.52,7.04,0.88,0.88,0.57
8911,3.52,7.04,0.92,0.92,0.567
8912,3.52,7.04,0.96,0.96,0.584
8913,3.52,7.04,1,1,0.563
8914,3.52,7.04,1.04,1.04,0.587
8915,3.52,7.04,1.08,1.08,0.602
8916,3.52,7.04,1.12,1.12,0.609
8917,3.52,7.04,1.16,1.16,0.649
8918,3.52,7.04,1.2,1.2,0.631
8919,3.52,7.04,1.24,1.24,0.66
8920,3.52,7.04,1.28,1.28,0.631
8921,3.52,7.04,1.32,1.32,0.656
8922,3.52,7.04,1.36,1.36,0.676
8923,3.52,7.04,1.4,1.4,0.655
8924,3.52,7.04,1.44,1.44,0.697
8925,3.52,7.04,1.48,1.48,0.653
8926,3.52,7.04,1.52,1.52,0.687
8927,3.52,7.04,1.56,1.56,0.711
8928,3.52,7.04,1.6,1.6,0.713
8929,3.52,7.04,1.64,1.64,0.691
8930,3.52,7.04,1.68,1.68,0.696
8931,3.52,7.04,1.72,1.72,0.722
8932,3.52,7.04,1.76,1.76,0.726
8933,3.52,7.04,1.8,1.8,0.742
8934,3.52,7.04,1.84,1.84,0.709
8935,3.52,7.04,1.88,1.88,0.722
8936,3.52,7.04,1.92,1.92,0.759
8937,3.52,7.04,1.96,1.96,0.727
8938,3.52,7.04,2,2,0.736
8939,3.52,7.04,2.04,2.04,0.741
8940,3.52,7.04,2.08,2.08,0.752
8941,3.52,7.04,2.12,2.12,0.742
8942,3.52,7.04,2.16,2.16,0.754
8943,3.52,7.04,2.2,2.2,0.76
8944,3.52,7.04,2.24,2.24,0.749
8945,3.52,7.04,2.28,2.28,0.772
8946,3.52,7.04,2.32,2.32,0.779
8947,3.52,7.04,2.36,2.36,0.771
8948,3.52,7.04,2.4,2.4,0.794
8949,3.52,7.04,2.44,2.44,0.789
8950,3.52,7.04,2.48,2.48,0.783
8951,3.52,7.04,2.52,2.52,0.802
8952,3.52,7.04,2.56,2.56,0.801
8953,3.52,7.04,2.6,2.6,0.794
8954,3.52,7.04,2.64,2.64,0.801
8955,3.52,7.04,2.68,2.68,0.795
8956,3.52,7.04,2.72,2.72,0.813
8957,3.52,7.04,2.76,2.76,0.795
8958,3.52,7.04,2.8,2.8,0.789
8959,3.52,7.04,2.84,2.84,0.827
8960,3.52,7.04,2.88,2.88,0.787
8961,3.52,7.04,2.92,2.92,0.808
8962,3.52,7.04,2.96,2.96,0.807
8963,3.52,7.04,3,3,0.818
8964,3.52,7.04,3.04,3.04,0.828
8965,3.52,7.04,3.08,3.08,0.795
8966,3.52,7.04,3.12,3.12,0.815
8967,3.52,7.04,3.16,3.16,0.806
8968,3.52,7.04,3.2,3.2,0.798
8969,3.52,7.04,3.24,3.24,0.82
8970,3.52,7.04,3.28,3.28,0.79
8971,3.52,7.04,3.32,3.32,0.82
8972,3.52,7.04,3.36,3.36,0.819
8973,3.52,7.04,3.4,3.4,0.831
8974,3.52,7.04,3.44,3.44,0.81
8975,3.52,7.04,3.48,3.48,0.81
8976,3.52,7.04,3.52,3.52,0.808
8977,3.52,7.04,3.56,3.56,0.82
8978,3.52,7.04,3.6,3.6,0.85
8979,3.52,7.04,3.64,3.64,0.809
8980,3.52,7.04,3.68,3.68,0.805
8981,3.52,7.04,3.72,3.72,0.833
8982,3.52,7.04,3.76,3.76,0.839
8983,3.52,7.04,3.8,3.8,0.829
8984,3.52,7.04,3.84,3.84,0.848
8985,3.52,7.04,3.88,3.88,0.832
8986,3.52,7.04,3.92,3.92,0.83
8987,3.52,7.04,3.96,3.96,0.823
8988,3.52,7.04,4,4,0.832
8989,3.56,7.12,0,0,0.084
8990,3.56,7.12,0.04,0.04,0.116
8991,3.56,7.12,0.08,0.08,0.137
8992,3.56,7.12,0.12,0.12,0.154
8993,3.56,7.12,0.16,0.16,0.176
8994,3.56,7.12,0.2,0.2,0.237
8995,3.56,7.12,0.24,0.24,0.218
8996,3.56,7.12,0.28,0.28,0.272
8997,3.56,7.12,0.32,0.32,0.262
8998,3.56,7.12,0.36,0.36,0.316
8999,3.56,7.12,0.4,0.4,0.333
9000,3.56,7.12,0.44,0.44,0.353
9001,3.56,7.12,0.48,0.48,0.378
9002,3.56,7.12,0.52,0.52,0.39
9003,3.56,7.12,0.56,0.56,0.397
9004,3.56,7.12,0.6,0.6,0.433
9005,3.56,7.12,0.64,0.64,0.422
9006,3.56,7.12,0.68,0.68,0.493
9007,3.56,7.12,0.72,0.72,0.466
9008,3.56,7.12,0.76,0.76,0.497
9009,3.56,7.12,0.8,0.8,0.51
9010,3.56,7.12,0.84,0.84,0.551
9011,3.56,7.12,0.88,0.88,0.539
9012,3.56,7.12,0.92,0.92,0.542
9013,3.56,7.12,0.96,0.96,0.543
9014,3.56,7.12,1,1,0.587
9015,3.56,7.12,1.04,1.04,0.599
9016,3.56,7.12,1.08,1.08,0.609
9017,3.56,7.12,1.12,1.12,0.635
9018,3.56,7.12,1.16,1.16,0.635
9019,3.56,7.12,1.2,1.2,0.632
9020,3.56,7.12,1.24,1.24,0.666
9021,3.56,7.12,1.28,1.28,0.629
9022,3.56,7.12,1.32,1.32,0.643
9023,3.56,7.12,1.36,1.36,0.669
9024,3.56,7.12,1.4,1.4,0.666
9025,3.56,7.12,1.44,1.44,0.693
9026,3.56,7.12,1.48,1.48,0.669
9027,3.56,7.12,1.52,1.52,0.681
9028,3.56,7.12,1.56,1.56,0.728
9029,3.56,7.12,1.6,1.6,0.693
9030,3.56,7.12,1.64,1.64,0.725
9031,3.56,7.12,1.68,1.68,0.699
9032,3.56,7.12,1.72,1.72,0.741
9033,3.56,7.12,1.76,1.76,0.715
9034,3.56,7.12,1.8,1.8,0.71
9035,3.56,7.12,1.84,1.84,0.733
9036,3.56,7.12,1.88,1.88,0.738
9037,3.56,7.12,1.92,1.92,0.749
9038,3.56,7.12,1.96,1.96,0.73
9039,3.56,7.12,2,2,0.727
9040,3.56,7.12,2.04,2.04,0.788
9041,3.56,7.12,2.08,2.08,0.748
9042,3.56,7.12,2.12,2.12,0.779
9043,3.56,7.12,2.16,2.16,0.749
9044,3.56,7.12,2.2,2.2,0.753
9045,3.56,7.12,2.24,2.24,0.766
9046,3.56,7.12,2.28,2.28,0.758
9047,3.56,7.12,2.32,2.32,0.759
9048,3.56,7.12,2.36,2.36,0.736
9049,3.56,7.12,2.4,2.4,0.766
9050,3.56,7.12,2.44,2.44,0.801
9051,3.56,7.12,2.48,2.48,0.766
9052,3.56,7.12,2.52,2.52,0.77
9053,3.56,7.12,2.56,2.56,0.775
9054,3.56,7.12,2.6,2.6,0.785
9055,3.56,7.12,2.64,2.64,0.765
9056,3.56,7.12,2.68,2.68,0.778
9057,3.56,7.12,2.72,2.72,0.792
9058,3.56,7.12,2.76,2.76,0.815
9059,3.56,7.12,2.8,2.8,0.796
9060,3.56,7.12,2.84,2.84,0.802
9061,3.56,7.12,2.88,2.88,0.8
9062,3.56,7.12,2.92,2.92,0.808
9063,3.56,7.12,2.96,2.96,0.82
9064,3.56,7.12,3,3,0.812
9065,3.56,7.12,3.04,3.04,0.792
9066,3.56,7.12,3.08,3.08,0.805
9067,3.56,7.12,3.12,3.12,0.796
9068,3.56,7.12,3.16,3.16,0.805
9069,3.56,7.12,3.2,3.2,0.826
9070,3.56,7.12,3.24,3.24,0.812
9071,3.56,7.12,3.28,3.28,0.806
9072,3.56,7.12,3.32,3.32,0.805
9073,3.56,7.12,3.36,3.36,0.812
9074,3.56,7.12,3.4,3.4,0.829
9075,3.56,7.12,3.44,3.44,0.814
9076,3.56,7.12,3.48,3.48,0.822
9077,3.56,7.12,3.52,3.52,0.819
9078,3.56,7.12,3.56,3.56,0.819
9079,3.56,7.12,3.6,3.6,0.828
9080,3.56,7.12,3.64,3.64,0.828
9081,3.56,7.12,3.68,3.68,0.826
9082,3.56,7.12,3.72,3.72,0.808
9083,3.56,7.12,3.76,3.76,0.819
9084,3.56,7.12,3.8,3.8,0.821
9085,3.56,7.12,3.84,3.84,0.835
9086,3.56,7.12,3.88,3.88,0.802
9087,3.56,7.12,3.92,3.92,0.835
9088,3.56,7.12,3.96,3.96,0.802
9089,3.56,7.12,4,4,0.817
9090,3.6,7.2,0,0,0.09
9091,3.6,7.2,0.04,0.04,0.114
9092,3.6,7.2,0.08,0.08,0.14
9093,3.6,7.2,0.12,0.12,0.176
9094,3.6,7.2,0.16,0.16,0.192
9095,3.6,7.2,0.2,0.2,0.203
9096,3.6,7.2,0.24,0.24,0.231
9097,3.6,7.2,0.28,0.28,0.253
9098,3.6,7.2,0.32,0.32,0.278
9099,3.6,7.2,0.36,0.36,0.277
9100,3.6,7.2,0.4,0.4,0.309
9101,3.6,7.2,0.44,0.44,0.351
9102,3.6,7.2,0.48,0.48,0.373
9103,3.6,7.2,0.52,0.52,0.405
9104,3.6,7.2,0.56,0.56,0.433
9105,3.6,7.2,0.6,0.6,0.413
9106,3.6,7.2,0.64,0.64,0.474
9107,3.6,7.2,0.68,0.68,0.455
9108,3.6,7.2,0.72,0.72,0.51
9109,3.6,7.2,0.76,0.76,0.462
9110,3.6,7.2,0.8,0.8,0.527
9111,3.6,7.2,0.84,0.84,0.546
9112,3.6,7.2,0.88,0.88,0.553
9113,3.6,7.2,0.92,0.92,0.568
9114,3.6,7.2,0.96,0.96,0.562
9115,3.6,7.2,1,1,0.564
9116,3.6,7.2,1.04,1.04,0.604
9117,3.6,7.2,1.08,1.08,0.612
9118,3.6,7.2,1.12,1.12,0.613
9119,3.6,7.2,1.16,1.16,0.617
9120,3.6,7.2,1.2,1.2,0.639
9121,3.6,7.2,1.24,1.24,0.649
9122,3.6,7.2,1.28,1.28,0.627
9123,3.6,7.2,1.32,1.32,0.672
9124,3.6,7.2,1.36,1.36,0.671
9125,3.6,7.2,1.4,1.4,0.663
9126,3.6,7.2,1.44,1.44,0.689
9127,3.6,7.2,1.48,1.48,0.695
9128,3.6,7.2,1.52,1.52,0.692
9129,3.6,7.2,1.56,1.56,0.689
9130,3.6,7.2,1.6,1.6,0.703
9131,3.6,7.2,1.64,1.64,0.689
9132,3.6,7.2,1.68,1.68,0.726
9133,3.6,7.2,1.72,1.72,0.708
9134,3.6,7.2,1.76,1.76,0.717
9135,3.6,7.2,1.8,1.8,0.713
9136,3.6,7.2,1.84,1.84,0.721
9137,3.6,7.2,1.88,1.88,0.748
9138,3.6,7.2,1.92,1.92,0.725
9139,3.6,7.2,1.96,1.96,0.747
9140,3.6,7.2,2,2,0.766
9141,3.6,7.2,2.04,2.04,0.765
9142,3.6,7.2,2.08,2.08,0.739
9143,3.6,7.2,2.12,2.12,0.757
9144,3.6,7.2,2.16,2.16,0.754
9145,3.6,7.2,2.2,2.2,0.769
9146,3.6,7.2,2.24,2.24,0.769
9147,3.6,7.2,2.28,2.28,0.756
9148,3.6,7.2,2.32,2.32,0.801
9149,3.6,7.2,2.36,2.36,0.787
9150,3.6,7.2,2.4,2.4,0.781
9151,3.6,7.2,2.44,2.44,0.761
9152,3.6,7.2,2.48,2.48,0.777
9153,3.6,7.2,2.52,2.52,0.755
9154,3.6,7.2,2.56,2.56,0.774
9155,3.6,7.2,2.6,2.6,0.784
9156,3.6,7.2,2.64,2.64,0.774
9157,3.6,7.2,2.68,2.68,0.799
9158,3.6,7.2,2.72,2.72,0.758
9159,3.6,7.2,2.76,2.76,0.811
9160,3.6,7.2,2.8,2.8,0.779
9161,3.6,7.2,2.84,2.84,0.813
9162,3.6,7.2,2.88,2.88,0.8
9163,3.6,7.2,2.92,2.92,0.804
9164,3.6,7.2,2.96,2.96,0.788
9165,3.6,7.2,3,3,0.788
9166,3.6,7.2,3.04,3.04,0.829
9167,3.6,7.2,3.08,3.08,0.792
9168,3.6,7.2,3.12,3.12,0.83
9169,3.6,7.2,3.16,3.16,0.805
