$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
3.84,3.84,2.4,4.4,0.827
0.88,0.88,2.48,4.48,0.673
0.08,0.08,2.64,4.640000000000001,0.125
2.8,2.8,2.36,4.359999999999999,0.832
0.56,0.56,2.08,4.08,0.559
1.8,1.8,2.32,4.32,0.783
2.0,2.0,2.52,4.52,0.8
3.52,3.52,2.96,4.96,0.831
3.52,3.52,2.0,4.0,0.869
1.6,1.6,2.12,4.12,0.822
2.64,2.64,2.16,4.16,0.847
2.2,2.2,2.72,4.720000000000001,0.79
2.44,2.44,2.92,4.92,0.804
3.28,3.28,2.76,4.76,0.844
3.08,3.08,2.56,4.5600000000000005,0.846
0.92,0.92,2.48,4.48,0.683
0.32,0.32,2.84,4.84,0.355
1.16,1.16,2.68,4.68,0.712
0.12,0.12,2.64,4.640000000000001,0.201
2.84,2.84,2.36,4.359999999999999,0.858
3.88,3.88,2.4,4.4,0.858
3.68,3.68,2.2,4.2,0.859
1.36,1.36,2.88,4.88,0.726
0.68,0.68,2.28,4.279999999999999,0.584
2.04,2.04,2.52,4.52,0.821
0.6,0.6,2.08,4.08,0.596
1.84,1.84,2.32,4.32,0.782
2.48,2.48,2.92,4.92,0.827
3.56,3.56,2.96,4.96,0.865
1.64,1.64,2.12,4.12,0.8
2.68,2.68,2.16,4.16,0.837
2.24,2.24,2.72,4.720000000000001,0.831
3.56,3.56,2.0,4.0,0.843
0.16,0.16,2.64,4.640000000000001,0.234
3.32,3.32,2.76,4.76,0.831
0.96,0.96,2.48,4.48,0.676
3.92,3.92,2.4,4.4,0.863
0.36,0.36,2.84,4.84,0.354
3.12,3.12,2.56,4.5600000000000005,0.852
3.72,3.72,2.2,4.2,0.847
2.88,2.88,2.36,4.359999999999999,0.843
0.64,0.64,2.08,4.08,0.615
1.4,1.4,2.88,4.88,0.723
1.2,1.2,2.68,4.68,0.686
0.72,0.72,2.28,4.279999999999999,0.613
1.88,1.88,2.32,4.32,0.778
2.08,2.08,2.52,4.52,0.844
2.52,2.52,2.92,4.92,0.811
2.72,2.72,2.16,4.16,0.852
3.6,3.6,2.96,4.96,0.862
3.36,3.36,2.76,4.76,0.857
1.68,1.68,2.12,4.12,0.808
2.28,2.28,2.72,4.720000000000001,0.811
3.16,3.16,2.56,4.5600000000000005,0.842
3.96,3.96,2.4,4.4,0.861
3.76,3.76,2.2,4.2,0.849
3.6,3.6,2.0,4.0,0.842
0.4,0.4,2.84,4.84,0.378
0.2,0.2,2.64,4.640000000000001,0.271
0.68,0.68,2.08,4.08,0.617
1.0,1.0,2.48,4.48,0.696
1.24,1.24,2.68,4.68,0.728
1.44,1.44,2.88,4.88,0.738
2.92,2.92,2.36,4.359999999999999,0.863
1.92,1.92,2.32,4.32,0.802
2.76,2.76,2.16,4.16,0.831
3.64,3.64,2.96,4.96,0.836
0.76,0.76,2.28,4.279999999999999,0.609
2.12,2.12,2.52,4.52,0.824
2.56,2.56,2.92,4.92,0.814
1.72,1.72,2.12,4.12,0.81
3.4,3.4,2.76,4.76,0.834
3.8,3.8,2.2,4.2,0.861
4.0,4.0,2.4,4.4,0.849
3.2,3.2,2.56,4.5600000000000005,0.845
1.04,1.04,2.48,4.48,0.688
0.72,0.72,2.08,4.08,0.628
2.32,2.32,2.72,4.720000000000001,0.805
0.44,0.44,2.84,4.84,0.435
1.48,1.48,2.88,4.88,0.768
1.28,1.28,2.68,4.68,0.714
2.96,2.96,2.36,4.359999999999999,0.822
0.24,0.24,2.64,4.640000000000001,0.312
3.64,3.64,2.0,4.0,0.844
2.8,2.8,2.16,4.16,0.825
2.16,2.16,2.52,4.52,0.801
1.96,1.96,2.32,4.32,0.822
3.44,3.44,2.76,4.76,0.839
0.8,0.8,2.28,4.279999999999999,0.66
3.68,3.68,2.96,4.96,0.827
1.76,1.76,2.12,4.12,0.813
3.84,3.84,2.2,4.2,0.833
2.6,2.6,2.92,4.92,0.836
1.08,1.08,2.48,4.48,0.713
0.0,0.0,2.44,4.4399999999999995,0.085
3.24,3.24,2.56,4.5600000000000005,0.846
0.48,0.48,2.84,4.84,0.413
0.76,0.76,2.08,4.08,0.661
3.0,3.0,2.36,4.359999999999999,0.833
1.52,1.52,2.88,4.88,0.734
2.36,2.36,2.72,4.720000000000001,0.829
1.32,1.32,2.68,4.68,0.739
3.68,3.68,2.0,4.0,0.857
0.28,0.28,2.64,4.640000000000001,0.333
2.2,2.2,2.52,4.52,0.829
2.84,2.84,2.16,4.16,0.853
2.0,2.0,2.32,4.32,0.801
3.88,3.88,2.2,4.2,0.835
3.48,3.48,2.76,4.76,0.85
1.8,1.8,2.12,4.12,0.816
0.84,0.84,2.28,4.279999999999999,0.656
0.04,0.04,2.44,4.4399999999999995,0.143
0.8,0.8,2.08,4.08,0.664
3.28,3.28,2.56,4.5600000000000005,0.842
3.72,3.72,2.96,4.96,0.842
2.64,2.64,2.92,4.92,0.84
0.52,0.52,2.84,4.84,0.457
1.12,1.12,2.48,4.48,0.696
3.72,3.72,2.0,4.0,0.858
1.56,1.56,2.88,4.88,0.765
3.04,3.04,2.36,4.359999999999999,0.842
1.36,1.36,2.68,4.68,0.738
0.32,0.32,2.64,4.640000000000001,0.336
2.4,2.4,2.72,4.720000000000001,0.816
3.52,3.52,2.76,4.76,0.84
2.24,2.24,2.52,4.52,0.805
1.84,1.84,2.12,4.12,0.822
0.88,0.88,2.28,4.279999999999999,0.672
2.88,2.88,2.16,4.16,0.839
0.84,0.84,2.08,4.08,0.672
0.08,0.08,2.44,4.4399999999999995,0.159
2.04,2.04,2.32,4.32,0.806
3.32,3.32,2.56,4.5600000000000005,0.849
3.92,3.92,2.2,4.2,0.842
1.16,1.16,2.48,4.48,0.734
2.68,2.68,2.92,4.92,0.83
3.76,3.76,2.96,4.96,0.85
3.76,3.76,2.0,4.0,0.85
0.56,0.56,2.84,4.84,0.489
0.36,0.36,2.64,4.640000000000001,0.38
1.6,1.6,2.88,4.88,0.763
1.4,1.4,2.68,4.68,0.732
3.08,3.08,2.36,4.359999999999999,0.853
3.56,3.56,2.76,4.76,0.864
1.88,1.88,2.12,4.12,0.822
2.44,2.44,2.72,4.720000000000001,0.827
2.92,2.92,2.16,4.16,0.864
2.28,2.28,2.52,4.52,0.841
0.88,0.88,2.08,4.08,0.703
0.92,0.92,2.28,4.279999999999999,0.696
3.36,3.36,2.56,4.5600000000000005,0.874
1.2,1.2,2.48,4.48,0.72
0.12,0.12,2.44,4.4399999999999995,0.181
3.8,3.8,2.0,4.0,0.848
2.72,2.72,2.92,4.92,0.831
2.08,2.08,2.32,4.32,0.818
3.96,3.96,2.2,4.2,0.857
0.4,0.4,2.64,4.640000000000001,0.422
3.6,3.6,2.76,4.76,0.857
1.64,1.64,2.88,4.88,0.759
2.48,2.48,2.72,4.720000000000001,0.813
1.44,1.44,2.68,4.68,0.736
3.12,3.12,2.36,4.359999999999999,0.858
3.8,3.8,2.96,4.96,0.861
0.6,0.6,2.84,4.84,0.5
1.92,1.92,2.12,4.12,0.801
0.92,0.92,2.08,4.08,0.694
2.96,2.96,2.16,4.16,0.815
3.4,3.4,2.56,4.5600000000000005,0.855
2.32,2.32,2.52,4.52,0.808
0.16,0.16,2.44,4.4399999999999995,0.248
0.96,0.96,2.28,4.279999999999999,0.657
2.52,2.52,2.72,4.720000000000001,0.826
0.44,0.44,2.64,4.640000000000001,0.435
3.84,3.84,2.0,4.0,0.862
1.24,1.24,2.48,4.48,0.719
1.48,1.48,2.68,4.68,0.772
2.76,2.76,2.92,4.92,0.816
4.0,4.0,2.2,4.2,0.873
1.68,1.68,2.88,4.88,0.781
0.64,0.64,2.84,4.84,0.562
2.12,2.12,2.32,4.32,0.817
3.64,3.64,2.76,4.76,0.861
3.16,3.16,2.36,4.359999999999999,0.845
3.84,3.84,2.96,4.96,0.862
1.96,1.96,2.12,4.12,0.797
2.36,2.36,2.52,4.52,0.809
1.0,1.0,2.28,4.279999999999999,0.717
0.96,0.96,2.08,4.08,0.707
0.48,0.48,2.64,4.640000000000001,0.48
3.0,3.0,2.16,4.16,0.849
3.44,3.44,2.56,4.5600000000000005,0.87
3.88,3.88,2.0,4.0,0.842
0.2,0.2,2.44,4.4399999999999995,0.293
1.52,1.52,2.68,4.68,0.754
3.68,3.68,2.76,4.76,0.859
2.56,2.56,2.72,4.720000000000001,0.825
2.16,2.16,2.32,4.32,0.836
1.72,1.72,2.88,4.88,0.779
1.28,1.28,2.48,4.48,0.742
2.8,2.8,2.92,4.92,0.835
0.68,0.68,2.84,4.84,0.562
3.88,3.88,2.96,4.96,0.868
0.0,0.0,2.24,4.24,0.089
3.2,3.2,2.36,4.359999999999999,0.855
2.0,2.0,2.12,4.12,0.823
2.4,2.4,2.52,4.52,0.792
1.04,1.04,2.28,4.279999999999999,0.715
3.92,3.92,2.0,4.0,0.849
0.52,0.52,2.64,4.640000000000001,0.471
1.0,1.0,2.08,4.08,0.733
3.04,3.04,2.16,4.16,0.831
1.56,1.56,2.68,4.68,0.773
3.48,3.48,2.56,4.5600000000000005,0.872
0.24,0.24,2.44,4.4399999999999995,0.301
2.6,2.6,2.72,4.720000000000001,0.844
3.72,3.72,2.76,4.76,0.85
1.32,1.32,2.48,4.48,0.739
1.76,1.76,2.88,4.88,0.766
2.84,2.84,2.92,4.92,0.798
2.2,2.2,2.32,4.32,0.824
0.04,0.04,2.24,4.24,0.101
0.56,0.56,2.64,4.640000000000001,0.511
3.24,3.24,2.36,4.359999999999999,0.849
0.72,0.72,2.84,4.84,0.531
3.92,3.92,2.96,4.96,0.851
1.08,1.08,2.28,4.279999999999999,0.714
1.04,1.04,2.08,4.08,0.729
3.96,3.96,2.0,4.0,0.846
0.28,0.28,2.44,4.4399999999999995,0.328
2.04,2.04,2.12,4.12,0.82
2.44,2.44,2.52,4.52,0.839
1.6,1.6,2.68,4.68,0.78
1.36,1.36,2.48,4.48,0.767
3.76,3.76,2.76,4.76,0.839
3.08,3.08,2.16,4.16,0.852
1.8,1.8,2.88,4.88,0.775
2.88,2.88,2.92,4.92,0.83
3.52,3.52,2.56,4.5600000000000005,0.853
2.64,2.64,2.72,4.720000000000001,0.827
0.08,0.08,2.24,4.24,0.171
2.24,2.24,2.32,4.32,0.83
3.28,3.28,2.36,4.359999999999999,0.849
0.76,0.76,2.84,4.84,0.58
0.6,0.6,2.64,4.640000000000001,0.498
1.08,1.08,2.08,4.08,0.725
3.96,3.96,2.96,4.96,0.857
4.0,4.0,2.0,4.0,0.85
0.32,0.32,2.44,4.4399999999999995,0.383
1.12,1.12,2.28,4.279999999999999,0.735
2.68,2.68,2.72,4.720000000000001,0.82
2.48,2.48,2.52,4.52,0.836
1.64,1.64,2.68,4.68,0.769
3.8,3.8,2.76,4.76,0.859
2.08,2.08,2.12,4.12,0.827
1.84,1.84,2.88,4.88,0.738
1.4,1.4,2.48,4.48,0.768
3.32,3.32,2.36,4.359999999999999,0.861
0.8,0.8,2.84,4.84,0.589
3.12,3.12,2.16,4.16,0.856
2.92,2.92,2.92,4.92,0.825
3.56,3.56,2.56,4.5600000000000005,0.839
2.28,2.28,2.32,4.32,0.821
1.12,1.12,2.08,4.08,0.716
0.12,0.12,2.24,4.24,0.22
4.0,4.0,2.96,4.96,0.855
1.16,1.16,2.28,4.279999999999999,0.746
2.72,2.72,2.72,4.720000000000001,0.828
0.64,0.64,2.64,4.640000000000001,0.544
0.0,0.0,2.04,4.04,0.098
1.68,1.68,2.68,4.68,0.812
0.36,0.36,2.44,4.4399999999999995,0.379
2.52,2.52,2.52,4.52,0.806
3.36,3.36,2.36,4.359999999999999,0.832
1.44,1.44,2.48,4.48,0.748
2.96,2.96,2.92,4.92,0.848
3.84,3.84,2.76,4.76,0.852
2.12,2.12,2.12,4.12,0.837
1.88,1.88,2.88,4.88,0.789
0.16,0.16,2.24,4.24,0.214
0.84,0.84,2.84,4.84,0.61
2.32,2.32,2.32,4.32,0.816
3.16,3.16,2.16,4.16,0.839
0.0,0.0,3.0,5.0,0.098
2.76,2.76,2.72,4.720000000000001,0.831
3.6,3.6,2.56,4.5600000000000005,0.849
1.2,1.2,2.28,4.279999999999999,0.713
1.16,1.16,2.08,4.08,0.749
0.68,0.68,2.64,4.640000000000001,0.571
0.04,0.04,2.04,4.04,0.131
0.4,0.4,2.44,4.4399999999999995,0.436
1.72,1.72,2.68,4.68,0.769
3.88,3.88,2.76,4.76,0.86
1.48,1.48,2.48,4.48,0.771
3.4,3.4,2.36,4.359999999999999,0.841
1.92,1.92,2.88,4.88,0.794
2.56,2.56,2.52,4.52,0.833
0.2,0.2,2.24,4.24,0.285
0.88,0.88,2.84,4.84,0.64
2.16,2.16,2.12,4.12,0.834
3.0,3.0,2.92,4.92,0.84
2.8,2.8,2.72,4.720000000000001,0.842
1.2,1.2,2.08,4.08,0.742
3.64,3.64,2.56,4.5600000000000005,0.826
0.44,0.44,2.44,4.4399999999999995,0.46
2.36,2.36,2.32,4.32,0.825
1.24,1.24,2.28,4.279999999999999,0.736
3.2,3.2,2.16,4.16,0.856
0.04,0.04,3.0,5.0,0.108
3.92,3.92,2.76,4.76,0.845
0.08,0.08,2.04,4.04,0.162
1.76,1.76,2.68,4.68,0.789
1.52,1.52,2.48,4.48,0.779
0.72,0.72,2.64,4.640000000000001,0.596
1.96,1.96,2.88,4.88,0.775
3.44,3.44,2.36,4.359999999999999,0.847
3.04,3.04,2.92,4.92,0.841
0.24,0.24,2.24,4.24,0.341
0.92,0.92,2.84,4.84,0.651
2.6,2.6,2.52,4.52,0.832
2.84,2.84,2.72,4.720000000000001,0.838
1.24,1.24,2.08,4.08,0.755
0.48,0.48,2.44,4.4399999999999995,0.497
2.2,2.2,2.12,4.12,0.825
2.0,2.0,2.88,4.88,0.785
3.96,3.96,2.76,4.76,0.849
3.68,3.68,2.56,4.5600000000000005,0.859
2.4,2.4,2.32,4.32,0.824
1.56,1.56,2.48,4.48,0.753
1.28,1.28,2.28,4.279999999999999,0.742
0.12,0.12,2.04,4.04,0.22
3.24,3.24,2.16,4.16,0.859
1.8,1.8,2.68,4.68,0.78
0.08,0.08,3.0,5.0,0.148
0.76,0.76,2.64,4.640000000000001,0.599
2.88,2.88,2.72,4.720000000000001,0.831
0.52,0.52,2.44,4.4399999999999995,0.495
3.48,3.48,2.36,4.359999999999999,0.844
1.28,1.28,2.08,4.08,0.761
2.64,2.64,2.52,4.52,0.833
3.08,3.08,2.92,4.92,0.838
2.04,2.04,2.88,4.88,0.788
0.96,0.96,2.84,4.84,0.648
0.28,0.28,2.24,4.24,0.364
2.44,2.44,2.32,4.32,0.826
2.24,2.24,2.12,4.12,0.807
1.32,1.32,2.28,4.279999999999999,0.753
2.92,2.92,2.72,4.720000000000001,0.856
1.84,1.84,2.68,4.68,0.786
3.72,3.72,2.56,4.5600000000000005,0.866
4.0,4.0,2.76,4.76,0.87
1.32,1.32,2.08,4.08,0.765
0.8,0.8,2.64,4.640000000000001,0.605
1.6,1.6,2.48,4.48,0.776
3.28,3.28,2.16,4.16,0.851
0.16,0.16,2.04,4.04,0.27
2.68,2.68,2.52,4.52,0.829
0.12,0.12,3.0,5.0,0.171
3.52,3.52,2.36,4.359999999999999,0.845
0.56,0.56,2.44,4.4399999999999995,0.515
2.08,2.08,2.88,4.88,0.796
0.32,0.32,2.24,4.24,0.405
3.12,3.12,2.92,4.92,0.848
2.28,2.28,2.12,4.12,0.803
1.0,1.0,2.84,4.84,0.649
2.96,2.96,2.72,4.720000000000001,0.838
2.48,2.48,2.32,4.32,0.827
0.0,0.0,2.8,4.8,0.086
0.84,0.84,2.64,4.640000000000001,0.614
1.36,1.36,2.08,4.08,0.777
1.36,1.36,2.28,4.279999999999999,0.769
1.88,1.88,2.68,4.68,0.79
1.64,1.64,2.48,4.48,0.778
3.56,3.56,2.36,4.359999999999999,0.846
0.16,0.16,3.0,5.0,0.225
3.32,3.32,2.16,4.16,0.849
3.76,3.76,2.56,4.5600000000000005,0.864
2.72,2.72,2.52,4.52,0.85
0.2,0.2,2.04,4.04,0.304
3.16,3.16,2.92,4.92,0.867
0.6,0.6,2.44,4.4399999999999995,0.541
2.52,2.52,2.32,4.32,0.844
1.04,1.04,2.84,4.84,0.644
3.0,3.0,2.72,4.720000000000001,0.835
0.04,0.04,2.8,4.8,0.122
2.12,2.12,2.88,4.88,0.82
2.32,2.32,2.12,4.12,0.821
0.36,0.36,2.24,4.24,0.435
0.88,0.88,2.64,4.640000000000001,0.648
1.4,1.4,2.08,4.08,0.762
3.36,3.36,2.16,4.16,0.847
1.92,1.92,2.68,4.68,0.807
1.4,1.4,2.28,4.279999999999999,0.759
0.2,0.2,3.0,5.0,0.233
1.68,1.68,2.48,4.48,0.792
0.64,0.64,2.44,4.4399999999999995,0.574
2.76,2.76,2.52,4.52,0.837
3.6,3.6,2.36,4.359999999999999,0.859
3.2,3.2,2.92,4.92,0.843
3.8,3.8,2.56,4.5600000000000005,0.837
0.24,0.24,2.04,4.04,0.352
3.04,3.04,2.72,4.720000000000001,0.847
2.36,2.36,2.12,4.12,0.831
2.16,2.16,2.88,4.88,0.787
0.92,0.92,2.64,4.640000000000001,0.667
2.56,2.56,2.32,4.32,0.836
1.96,1.96,2.68,4.68,0.79
3.4,3.4,2.16,4.16,0.864
1.08,1.08,2.84,4.84,0.652
0.08,0.08,2.8,4.8,0.147
0.4,0.4,2.24,4.24,0.477
1.72,1.72,2.48,4.48,0.78
1.44,1.44,2.08,4.08,0.797
2.8,2.8,2.52,4.52,0.851
3.24,3.24,2.92,4.92,0.834
3.64,3.64,2.36,4.359999999999999,0.853
0.68,0.68,2.44,4.4399999999999995,0.591
0.24,0.24,3.0,5.0,0.284
1.44,1.44,2.28,4.279999999999999,0.79
0.28,0.28,2.04,4.04,0.373
2.4,2.4,2.12,4.12,0.822
3.84,3.84,2.56,4.5600000000000005,0.84
3.08,3.08,2.72,4.720000000000001,0.851
3.44,3.44,2.16,4.16,0.845
2.0,2.0,2.68,4.68,0.811
2.2,2.2,2.88,4.88,0.798
0.12,0.12,2.8,4.8,0.195
0.96,0.96,2.64,4.640000000000001,0.648
1.48,1.48,2.08,4.08,0.813
1.76,1.76,2.48,4.48,0.783
1.12,1.12,2.84,4.84,0.668
3.28,3.28,2.92,4.92,0.841
3.68,3.68,2.36,4.359999999999999,0.878
2.84,2.84,2.52,4.52,0.832
2.6,2.6,2.32,4.32,0.831
0.44,0.44,2.24,4.24,0.497
0.72,0.72,2.44,4.4399999999999995,0.593
0.32,0.32,2.04,4.04,0.412
1.48,1.48,2.28,4.279999999999999,0.781
0.28,0.28,3.0,5.0,0.284
3.12,3.12,2.72,4.720000000000001,0.872
2.44,2.44,2.12,4.12,0.829
2.04,2.04,2.68,4.68,0.809
3.48,3.48,2.16,4.16,0.839
0.16,0.16,2.8,4.8,0.217
3.88,3.88,2.56,4.5600000000000005,0.864
2.24,2.24,2.88,4.88,0.815
1.16,1.16,2.84,4.84,0.716
1.0,1.0,2.64,4.640000000000001,0.685
1.52,1.52,2.08,4.08,0.794
3.32,3.32,2.92,4.92,0.84
1.8,1.8,2.48,4.48,0.798
1.52,1.52,2.28,4.279999999999999,0.805
0.76,0.76,2.44,4.4399999999999995,0.604
2.64,2.64,2.32,4.32,0.835
2.88,2.88,2.52,4.52,0.834
3.72,3.72,2.36,4.359999999999999,0.868
0.48,0.48,2.24,4.24,0.51
0.36,0.36,2.04,4.04,0.469
3.16,3.16,2.72,4.720000000000001,0.878
0.2,0.2,2.8,4.8,0.273
0.32,0.32,3.0,5.0,0.322
3.52,3.52,2.16,4.16,0.841
1.04,1.04,2.64,4.640000000000001,0.696
3.92,3.92,2.56,4.5600000000000005,0.852
3.36,3.36,2.92,4.92,0.848
1.2,1.2,2.84,4.84,0.696
2.08,2.08,2.68,4.68,0.822
2.48,2.48,2.12,4.12,0.827
1.56,1.56,2.08,4.08,0.809
2.28,2.28,2.88,4.88,0.818
1.56,1.56,2.28,4.279999999999999,0.788
0.8,0.8,2.44,4.4399999999999995,0.619
1.84,1.84,2.48,4.48,0.783
3.2,3.2,2.72,4.720000000000001,0.855
3.76,3.76,2.36,4.359999999999999,0.855
2.92,2.92,2.52,4.52,0.833
2.52,2.52,2.12,4.12,0.828
0.24,0.24,2.8,4.8,0.292
2.68,2.68,2.32,4.32,0.85
3.56,3.56,2.16,4.16,0.858
0.52,0.52,2.24,4.24,0.551
2.12,2.12,2.68,4.68,0.805
0.36,0.36,3.0,5.0,0.356
0.4,0.4,2.04,4.04,0.493
3.96,3.96,2.56,4.5600000000000005,0.853
1.08,1.08,2.64,4.640000000000001,0.697
1.24,1.24,2.84,4.84,0.731
3.4,3.4,2.92,4.92,0.816
1.6,1.6,2.08,4.08,0.798
1.6,1.6,2.28,4.279999999999999,0.781
2.32,2.32,2.88,4.88,0.807
1.88,1.88,2.48,4.48,0.804
0.84,0.84,2.44,4.4399999999999995,0.635
3.8,3.8,2.36,4.359999999999999,0.846
2.96,2.96,2.52,4.52,0.835
0.28,0.28,2.8,4.8,0.318
3.24,3.24,2.72,4.720000000000001,0.822
2.72,2.72,2.32,4.32,0.852
2.56,2.56,2.12,4.12,0.823
2.16,2.16,2.68,4.68,0.794
0.44,0.44,2.04,4.04,0.528
0.4,0.4,3.0,5.0,0.387
1.12,1.12,2.64,4.640000000000001,0.712
3.6,3.6,2.16,4.16,0.837
0.56,0.56,2.24,4.24,0.534
1.28,1.28,2.84,4.84,0.723
3.44,3.44,2.92,4.92,0.865
4.0,4.0,2.56,4.5600000000000005,0.876
1.64,1.64,2.28,4.279999999999999,0.805
1.64,1.64,2.08,4.08,0.808
1.92,1.92,2.48,4.48,0.806
0.32,0.32,2.8,4.8,0.348
0.88,0.88,2.44,4.4399999999999995,0.659
2.36,2.36,2.88,4.88,0.823
3.28,3.28,2.72,4.720000000000001,0.85
3.84,3.84,2.36,4.359999999999999,0.853
3.0,3.0,2.52,4.52,0.857
2.76,2.76,2.32,4.32,0.849
0.48,0.48,2.04,4.04,0.495
2.6,2.6,2.12,4.12,0.855
1.16,1.16,2.64,4.640000000000001,0.692
2.2,2.2,2.68,4.68,0.803
1.32,1.32,2.84,4.84,0.714
0.44,0.44,3.0,5.0,0.416
3.64,3.64,2.16,4.16,0.85
0.6,0.6,2.24,4.24,0.571
3.48,3.48,2.92,4.92,0.841
0.0,0.0,2.6,4.6,0.093
1.68,1.68,2.08,4.08,0.802
1.96,1.96,2.48,4.48,0.803
1.68,1.68,2.28,4.279999999999999,0.787
3.32,3.32,2.72,4.720000000000001,0.846
3.88,3.88,2.36,4.359999999999999,0.87
2.8,2.8,2.32,4.32,0.836
3.04,3.04,2.52,4.52,0.842
2.4,2.4,2.88,4.88,0.798
2.64,2.64,2.12,4.12,0.836
0.36,0.36,2.8,4.8,0.354
0.92,0.92,2.44,4.4399999999999995,0.672
2.24,2.24,2.68,4.68,0.829
1.36,1.36,2.84,4.84,0.738
0.52,0.52,2.04,4.04,0.55
3.52,3.52,2.92,4.92,0.857
1.2,1.2,2.64,4.640000000000001,0.705
2.0,2.0,2.48,4.48,0.795
0.04,0.04,2.6,4.6,0.134
3.68,3.68,2.16,4.16,0.823
1.72,1.72,2.08,4.08,0.796
0.64,0.64,2.24,4.24,0.608
0.48,0.48,3.0,5.0,0.445
3.92,3.92,2.36,4.359999999999999,0.844
1.72,1.72,2.28,4.279999999999999,0.794
3.36,3.36,2.72,4.720000000000001,0.87
3.08,3.08,2.52,4.52,0.836
2.68,2.68,2.12,4.12,0.84
2.28,2.28,2.68,4.68,0.815
0.4,0.4,2.8,4.8,0.391
0.96,0.96,2.44,4.4399999999999995,0.675
2.84,2.84,2.32,4.32,0.844
0.56,0.56,2.04,4.04,0.581
2.44,2.44,2.88,4.88,0.812
2.04,2.04,2.48,4.48,0.788
3.72,3.72,2.16,4.16,0.86
1.4,1.4,2.84,4.84,0.728
3.56,3.56,2.92,4.92,0.853
1.76,1.76,2.08,4.08,0.799
0.52,0.52,3.0,5.0,0.461
0.08,0.08,2.6,4.6,0.161
1.24,1.24,2.64,4.640000000000001,0.709
3.96,3.96,2.36,4.359999999999999,0.852
0.68,0.68,2.24,4.24,0.606
0.44,0.44,2.8,4.8,0.427
2.48,2.48,2.88,4.88,0.823
1.76,1.76,2.28,4.279999999999999,0.834
2.32,2.32,2.68,4.68,0.82
2.72,2.72,2.12,4.12,0.837
3.12,3.12,2.52,4.52,0.833
2.08,2.08,2.48,4.48,0.779
1.0,1.0,2.44,4.4399999999999995,0.674
2.88,2.88,2.32,4.32,0.867
3.4,3.4,2.72,4.720000000000001,0.841
3.6,3.6,2.92,4.92,0.857
0.56,0.56,3.0,5.0,0.483
0.6,0.6,2.04,4.04,0.577
1.28,1.28,2.64,4.640000000000001,0.73
3.76,3.76,2.16,4.16,0.838
0.48,0.48,2.8,4.8,0.457
1.8,1.8,2.08,4.08,0.817
0.12,0.12,2.6,4.6,0.203
1.44,1.44,2.84,4.84,0.758
0.72,0.72,2.24,4.24,0.615
2.52,2.52,2.88,4.88,0.827
2.36,2.36,2.68,4.68,0.85
4.0,4.0,2.36,4.359999999999999,0.848
2.12,2.12,2.48,4.48,0.828
2.76,2.76,2.12,4.12,0.836
1.04,1.04,2.44,4.4399999999999995,0.707
3.16,3.16,2.52,4.52,0.879
2.92,2.92,2.32,4.32,0.841
1.8,1.8,2.28,4.279999999999999,0.802
3.64,3.64,2.92,4.92,0.841
0.6,0.6,3.0,5.0,0.508
3.44,3.44,2.72,4.720000000000001,0.864
1.32,1.32,2.64,4.640000000000001,0.738
0.64,0.64,2.04,4.04,0.61
1.48,1.48,2.84,4.84,0.754
0.16,0.16,2.6,4.6,0.227
1.84,1.84,2.08,4.08,0.818
0.52,0.52,2.8,4.8,0.476
2.4,2.4,2.68,4.68,0.852
3.8,3.8,2.16,4.16,0.869
0.76,0.76,2.24,4.24,0.628
3.2,3.2,2.52,4.52,0.855
2.8,2.8,2.12,4.12,0.83
1.84,1.84,2.28,4.279999999999999,0.825
2.96,2.96,2.32,4.32,0.833
0.64,0.64,3.0,5.0,0.541
3.48,3.48,2.72,4.720000000000001,0.855
2.56,2.56,2.88,4.88,0.813
0.0,0.0,2.4,4.4,0.086
2.16,2.16,2.48,4.48,0.808
3.68,3.68,2.92,4.92,0.863
1.08,1.08,2.44,4.4399999999999995,0.704
1.52,1.52,2.84,4.84,0.751
0.68,0.68,2.04,4.04,0.628
1.88,1.88,2.08,4.08,0.811
1.36,1.36,2.64,4.640000000000001,0.752
2.44,2.44,2.68,4.68,0.822
0.8,0.8,2.24,4.24,0.639
0.2,0.2,2.6,4.6,0.267
3.24,3.24,2.52,4.52,0.857
0.56,0.56,2.8,4.8,0.51
2.84,2.84,2.12,4.12,0.851
3.84,3.84,2.16,4.16,0.861
3.52,3.52,2.72,4.720000000000001,0.857
3.0,3.0,2.32,4.32,0.842
1.88,1.88,2.28,4.279999999999999,0.814
0.68,0.68,3.0,5.0,0.531
3.72,3.72,2.92,4.92,0.845
2.6,2.6,2.88,4.88,0.823
0.04,0.04,2.4,4.4,0.125
0.72,0.72,2.04,4.04,0.625
1.56,1.56,2.84,4.84,0.75
1.92,1.92,2.08,4.08,0.838
2.2,2.2,2.48,4.48,0.812
1.12,1.12,2.44,4.4399999999999995,0.703
0.84,0.84,2.24,4.24,0.666
2.48,2.48,2.68,4.68,0.826
0.24,0.24,2.6,4.6,0.288
1.4,1.4,2.64,4.640000000000001,0.741
3.56,3.56,2.72,4.720000000000001,0.88
2.88,2.88,2.12,4.12,0.839
3.28,3.28,2.52,4.52,0.828
0.72,0.72,3.0,5.0,0.548
1.92,1.92,2.28,4.279999999999999,0.816
3.04,3.04,2.32,4.32,0.834
