,opt,sigh,success_rate
242,10,0.41000000000000003,0.122
243,10,0.42,0.142
244,10,0.43,0.133
245,10,0.44,0.12
246,10,0.45,0.112
247,10,0.46,0.122
248,10,0.47000000000000003,0.137
249,10,0.48,0.133
250,10,0.49,0.122
251,10,0.5,0.112
252,10,0.51,0.112
253,10,0.52,0.122
254,10,0.53,0.121
255,10,0.54,0.134
256,10,0.55,0.125
257,10,0.56,0.107
258,10,0.5700000000000001,0.112
259,10,0.58,0.126
260,10,0.59,0.118
261,10,0.6,0.128
262,10,0.61,0.126
263,10,0.62,0.115
264,10,0.63,0.142
265,10,0.64,0.112
266,10,0.65,0.116
267,10,0.66,0.135
268,10,0.67,0.123
269,10,0.68,0.124
270,10,0.6900000000000001,0.14
271,10,0.7000000000000001,0.127
272,10,0.71,0.132
273,10,0.72,0.128
274,10,0.73,0.107
275,10,0.74,0.147
276,10,0.75,0.129
277,10,0.76,0.129
278,10,0.77,0.135
279,10,0.78,0.136
280,10,0.79,0.135
281,10,0.8,0.127
282,10,0.81,0.12
283,10,0.8200000000000001,0.135
284,10,0.8300000000000001,0.14
285,10,0.84,0.142
286,10,0.85,0.143
287,10,0.86,0.142
288,10,0.87,0.138
289,10,0.88,0.146
290,10,0.89,0.148
291,10,0.9,0.139
292,10,0.91,0.13
293,10,0.92,0.153
294,10,0.93,0.124
295,10,0.9400000000000001,0.151
296,10,0.9500000000000001,0.145
297,10,0.96,0.128
298,10,0.97,0.143
299,10,0.98,0.148
300,10,0.99,0.143
301,10,1.0,0.157
302,10,1.01,0.148
303,10,1.02,0.15
304,10,1.03,0.141
305,10,1.04,0.144
306,10,1.05,0.13
307,10,1.06,0.137
308,10,1.07,0.155
309,10,1.08,0.154
310,10,1.09,0.163
311,10,1.1,0.154
312,10,1.11,0.158
313,10,1.12,0.147
314,10,1.1300000000000001,0.153
315,10,1.1400000000000001,0.142
316,10,1.1500000000000001,0.164
317,10,1.16,0.143
318,10,1.17,0.167
319,10,1.18,0.161
320,10,1.19,0.154
321,10,1.2,0.15
322,10,1.21,0.157
323,10,1.22,0.143
324,10,1.23,0.157
325,10,1.24,0.165
326,10,1.25,0.163
327,10,1.26,0.179
328,10,1.27,0.181
329,10,1.28,0.176
330,10,1.29,0.175
331,10,1.3,0.167
332,10,1.31,0.158
333,10,1.32,0.174
334,10,1.33,0.167
335,10,1.34,0.185
336,10,1.35,0.163
337,10,1.36,0.183
338,10,1.37,0.184
339,10,1.3800000000000001,0.18
340,10,1.3900000000000001,0.17
341,10,1.4000000000000001,0.175
342,10,1.41,0.174
343,10,1.42,0.179
344,10,1.43,0.195
345,10,1.44,0.18
346,10,1.45,0.212
347,10,1.46,0.188
348,10,1.47,0.179
349,10,1.48,0.203
350,10,1.49,0.164
351,10,1.5,0.197
352,10,1.51,0.189
353,10,1.52,0.194
354,10,1.53,0.18
355,10,1.54,0.17
356,10,1.55,0.195
357,10,1.56,0.181
358,10,1.57,0.198
359,10,1.58,0.196
360,10,1.59,0.18
361,10,1.6,0.209
362,10,1.61,0.174
363,10,1.62,0.178
364,10,1.6300000000000001,0.21
365,10,1.6400000000000001,0.187
366,10,1.6500000000000001,0.196
367,10,1.6600000000000001,0.188
368,10,1.67,0.215
369,10,1.68,0.209
370,10,1.69,0.181
371,10,1.7,0.203
372,10,1.71,0.196
373,10,1.72,0.216
374,10,1.73,0.219
375,10,1.74,0.209
376,10,1.75,0.213
377,10,1.76,0.223
378,10,1.77,0.247
379,10,1.78,0.233
380,10,1.79,0.221
381,10,1.8,0.211
382,10,1.81,0.211
383,10,1.82,0.217
384,10,1.83,0.234
385,10,1.84,0.219
386,10,1.85,0.237
387,10,1.86,0.229
388,10,1.87,0.234
389,10,1.8800000000000001,0.215
390,10,1.8900000000000001,0.25
391,10,1.9000000000000001,0.237
392,10,1.9100000000000001,0.235
393,10,1.92,0.241
394,10,1.93,0.242
395,10,1.94,0.225
396,10,1.95,0.226
397,10,1.96,0.234
398,10,1.97,0.226
399,10,1.98,0.25
400,10,1.99,0.262
401,10,2.0,0.257
402,40,0.0,0.023
403,40,0.01,0.031
404,40,0.02,0.03
405,40,0.03,0.016
406,40,0.04,0.028
407,40,0.05,0.028
408,40,0.06,0.024
409,40,0.07,0.02
410,40,0.08,0.021
411,40,0.09,0.016
412,40,0.1,0.029
413,40,0.11,0.026
414,40,0.12,0.026
415,40,0.13,0.028
416,40,0.14,0.024
417,40,0.15,0.026
418,40,0.16,0.026
419,40,0.17,0.021
420,40,0.18,0.017
421,40,0.19,0.028
