mux,muh,success_rate
-3.52,-2.72,0.83
2.32,-3.92,0.098
3.12,-3.04,0.099
2.32,-2.4,0.113
3.68,-3.68,0.098
1.12,-2.64,0.118
1.6,-3.28,0.117
-0.88,-2.24,0.73
-2.0,-2.48,0.824
3.92,-2.16,0.114
-1.68,-3.12,0.691
0.4,-3.52,0.119
-2.32,-4.0,0.587
-3.44,-2.72,0.851
3.2,-3.04,0.114
-2.72,-3.36,0.834
-0.24,-2.88,0.226
-0.88,-3.76,0.192
-1.92,-2.48,0.824
2.4,-3.92,0.099
2.4,-2.4,0.098
-3.36,-2.72,0.858
1.2,-2.64,0.111
3.76,-3.68,0.099
-0.8,-2.24,0.686
1.68,-3.28,0.101
4.0,-2.16,0.114
-1.6,-3.12,0.663
3.28,-3.04,0.114
0.48,-3.52,0.114
-2.24,-4.0,0.583
-1.84,-2.48,0.824
-2.64,-3.36,0.836
-0.16,-2.88,0.224
-3.28,-2.72,0.843
-0.8,-3.76,0.145
2.48,-3.92,0.114
3.36,-3.04,0.1
2.48,-2.4,0.094
1.28,-2.64,0.116
3.84,-3.68,0.114
-0.72,-2.24,0.667
1.76,-3.28,0.093
-1.76,-2.48,0.818
-4.0,-2.08,0.867
-1.52,-3.12,0.629
-3.2,-2.72,0.839
0.56,-3.52,0.104
-2.16,-4.0,0.502
-2.56,-3.36,0.81
3.44,-3.04,0.086
-0.08,-2.88,0.191
-0.72,-3.76,0.148
-1.68,-2.48,0.819
2.56,-3.92,0.114
2.56,-2.4,0.103
1.36,-2.64,0.108
-3.92,-2.08,0.864
3.92,-3.68,0.114
-0.64,-2.24,0.663
1.84,-3.28,0.09
-3.12,-2.72,0.855
0.64,-3.52,0.096
-1.44,-3.12,0.597
-2.08,-4.0,0.499
3.52,-3.04,0.097
-2.48,-3.36,0.79
-0.64,-3.76,0.156
0.0,-2.88,0.186
-1.6,-2.48,0.825
-3.04,-2.72,0.861
2.64,-3.92,0.1
0.72,-3.52,0.086
2.64,-2.4,0.099
-3.84,-2.08,0.852
1.44,-2.64,0.111
3.6,-3.04,0.105
4.0,-3.68,0.1
-0.56,-2.24,0.612
1.92,-3.28,0.08
-1.36,-3.12,0.573
-2.0,-4.0,0.452
-2.96,-2.72,0.858
0.8,-3.52,0.111
-2.4,-3.36,0.799
-0.56,-3.76,0.144
0.08,-2.88,0.177
3.68,-3.04,0.09
-1.52,-2.48,0.76
2.72,-3.92,0.086
-3.76,-2.08,0.84
2.72,-2.4,0.127
-4.0,-3.6,0.851
1.52,-2.64,0.124
-2.88,-2.72,0.852
-0.48,-2.24,0.547
0.88,-3.52,0.112
2.0,-3.28,0.109
-1.28,-3.12,0.518
-1.92,-4.0,0.411
3.76,-3.04,0.103
-2.32,-3.36,0.77
-0.48,-3.76,0.103
0.16,-2.88,0.181
-2.8,-2.72,0.841
-1.44,-2.48,0.789
-3.68,-2.08,0.853
2.8,-3.92,0.097
0.96,-3.52,0.117
2.8,-2.4,0.095
-3.92,-3.6,0.855
1.6,-2.64,0.111
3.84,-3.04,0.094
-0.4,-2.24,0.528
-1.2,-3.12,0.477
2.08,-3.28,0.096
-1.84,-4.0,0.398
-2.72,-2.72,0.858
-2.24,-3.36,0.767
1.04,-3.52,0.091
-0.4,-3.76,0.146
0.24,-2.88,0.137
-1.36,-2.48,0.798
3.92,-3.04,0.084
-3.6,-2.08,0.862
2.88,-3.92,0.105
-3.84,-3.6,0.852
2.88,-2.4,0.105
-2.64,-2.72,0.865
1.68,-2.64,0.111
2.16,-3.28,0.103
-0.32,-2.24,0.477
1.12,-3.52,0.114
-1.12,-3.12,0.448
-1.76,-4.0,0.327
-2.16,-3.36,0.739
4.0,-3.04,0.108
-0.32,-3.76,0.125
-2.56,-2.72,0.848
0.32,-2.88,0.146
-3.52,-2.08,0.857
-1.28,-2.48,0.761
2.24,-3.28,0.1
2.96,-3.92,0.09
1.2,-3.52,0.113
-3.76,-3.6,0.858
2.96,-2.4,0.1
1.76,-2.64,0.11
-4.0,-2.96,0.869
-0.24,-2.24,0.448
-1.04,-3.12,0.406
-2.48,-2.72,0.848
-1.68,-4.0,0.313
2.32,-3.28,0.093
-2.08,-3.36,0.724
1.28,-3.52,0.094
-3.44,-2.08,0.845
-0.24,-3.76,0.135
0.4,-2.88,0.124
-1.2,-2.48,0.73
-3.92,-2.96,0.859
-3.68,-3.6,0.858
3.04,-3.92,0.103
