,$\mu_h$,$\mu_x$,success_rate
292,-3.84,3.2,0.089
293,-3.84,3.28,0.105
294,-3.84,3.36,0.098
295,-3.84,3.44,0.105
296,-3.84,3.52,0.091
297,-3.84,3.6,0.092
298,-3.84,3.68,0.086
299,-3.84,3.76,0.112
300,-3.84,3.84,0.092
301,-3.84,3.92,0.104
302,-3.84,4,0.104
303,-3.76,-4,0.849
304,-3.76,-3.92,0.846
305,-3.76,-3.84,0.855
306,-3.76,-3.76,0.853
307,-3.76,-3.68,0.849
308,-3.76,-3.6,0.849
309,-3.76,-3.52,0.834
310,-3.76,-3.44,0.836
311,-3.76,-3.36,0.843
312,-3.76,-3.28,0.856
313,-3.76,-3.2,0.836
314,-3.76,-3.12,0.843
315,-3.76,-3.04,0.8
316,-3.76,-2.96,0.811
317,-3.76,-2.88,0.769
318,-3.76,-2.8,0.786
319,-3.76,-2.72,0.779
320,-3.76,-2.64,0.747
321,-3.76,-2.56,0.741
322,-3.76,-2.48,0.731
323,-3.76,-2.4,0.72
324,-3.76,-2.32,0.699
325,-3.76,-2.24,0.658
326,-3.76,-2.16,0.638
327,-3.76,-2.08,0.592
328,-3.76,-2,0.582
329,-3.76,-1.92,0.513
330,-3.76,-1.84,0.488
331,-3.76,-1.76,0.439
332,-3.76,-1.68,0.382
333,-3.76,-1.6,0.367
334,-3.76,-1.52,0.347
335,-3.76,-1.44,0.292
336,-3.76,-1.36,0.292
337,-3.76,-1.28,0.239
338,-3.76,-1.2,0.239
339,-3.76,-1.12,0.223
340,-3.76,-1.04,0.207
341,-3.76,-0.96,0.204
342,-3.76,-0.88,0.192
343,-3.76,-0.8,0.145
344,-3.76,-0.72,0.148
345,-3.76,-0.64,0.156
346,-3.76,-0.56,0.144
347,-3.76,-0.48,0.103
348,-3.76,-0.4,0.146
349,-3.76,-0.32,0.125
350,-3.76,-0.24,0.135
351,-3.76,-0.16,0.127
352,-3.76,-0.08,0.116
353,-3.76,0,0.111
354,-3.76,0.08,0.098
