,opt,sigma,success_rate
760,10,2.59,0.747
761,10,2.6,0.754
762,10,2.61,0.738
763,10,2.62,0.734
764,10,2.63,0.735
765,10,2.64,0.718
766,10,2.65,0.739
767,10,2.66,0.725
768,10,2.67,0.722
769,10,2.68,0.754
770,10,2.69,0.734
771,10,2.7,0.7
772,10,2.71,0.718
773,10,2.72,0.747
774,10,2.73,0.732
775,10,2.74,0.728
776,10,2.75,0.699
777,10,2.7600000000000002,0.746
778,10,2.77,0.739
779,10,2.7800000000000002,0.73
780,10,2.79,0.682
781,10,2.8000000000000003,0.712
782,10,2.81,0.728
783,10,2.82,0.708
784,10,2.83,0.708
785,10,2.84,0.714
786,10,2.85,0.713
787,10,2.86,0.732
788,10,2.87,0.726
789,10,2.88,0.729
790,10,2.89,0.718
791,10,2.9,0.695
792,10,2.91,0.718
793,10,2.92,0.685
794,10,2.93,0.714
795,10,2.94,0.712
796,10,2.95,0.727
797,10,2.96,0.687
798,10,2.97,0.688
799,10,2.98,0.705
800,10,2.99,0.691
801,10,3.0,0.723
802,10,3.0100000000000002,0.691
803,10,3.02,0.698
804,10,3.0300000000000002,0.697
805,10,3.04,0.733
806,10,3.0500000000000003,0.695
807,10,3.06,0.687
808,10,3.0700000000000003,0.713
809,10,3.08,0.7
810,10,3.09,0.687
811,10,3.1,0.688
812,10,3.11,0.689
813,10,3.12,0.707
814,10,3.13,0.697
815,10,3.14,0.709
816,10,3.15,0.658
817,10,3.16,0.687
818,10,3.17,0.685
819,10,3.18,0.677
820,10,3.19,0.68
821,10,3.2,0.69
822,10,3.21,0.717
823,10,3.22,0.689
824,10,3.23,0.692
825,10,3.24,0.671
826,10,3.25,0.649
827,10,3.2600000000000002,0.659
828,10,3.27,0.676
829,10,3.2800000000000002,0.706
830,10,3.29,0.667
831,10,3.3000000000000003,0.7
832,10,3.31,0.656
833,10,3.3200000000000003,0.662
834,10,3.33,0.673
835,10,3.34,0.675
836,10,3.35,0.667
837,10,3.36,0.665
838,10,3.37,0.638
839,10,3.38,0.684
840,10,3.39,0.666
841,10,3.4,0.664
842,10,3.41,0.668
843,10,3.42,0.684
844,10,3.43,0.653
845,10,3.44,0.671
846,10,3.45,0.679
847,10,3.46,0.674
848,10,3.47,0.67
849,10,3.48,0.654
850,10,3.49,0.658
851,10,3.5,0.645
852,10,3.5100000000000002,0.653
853,10,3.52,0.675
854,10,3.5300000000000002,0.652
855,10,3.54,0.658
856,10,3.5500000000000003,0.641
857,10,3.56,0.646
858,10,3.5700000000000003,0.676
859,10,3.58,0.649
860,10,3.59,0.656
861,10,3.6,0.677
862,10,3.61,0.634
863,10,3.62,0.649
864,10,3.63,0.66
865,10,3.64,0.655
866,10,3.65,0.629
867,10,3.66,0.678
868,10,3.67,0.634
869,10,3.68,0.656
870,10,3.69,0.645
871,10,3.7,0.676
872,10,3.71,0.65
873,10,3.72,0.638
874,10,3.73,0.637
875,10,3.74,0.663
876,10,3.75,0.672
877,10,3.7600000000000002,0.654
878,10,3.77,0.653
879,10,3.7800000000000002,0.648
880,10,3.79,0.623
881,10,3.8000000000000003,0.65
882,10,3.81,0.623
883,10,3.8200000000000003,0.667
884,10,3.83,0.649
885,10,3.84,0.623
886,10,3.85,0.652
887,10,3.86,0.64
888,10,3.87,0.63
889,10,3.88,0.634
890,10,3.89,0.635
891,10,3.9,0.649
892,10,3.91,0.638
893,10,3.92,0.656
894,10,3.93,0.653
895,10,3.94,0.619
896,10,3.95,0.623
897,10,3.96,0.634
898,10,3.97,0.639
899,10,3.98,0.639
900,10,3.99,0.653
901,10,4.0,0.609
902,10,4.01,0.631
903,10,4.0200000000000005,0.613
904,10,4.03,0.611
905,10,4.04,0.619
906,10,4.05,0.635
907,10,4.0600000000000005,0.614
908,10,4.07,0.633
909,10,4.08,0.645
910,10,4.09,0.637
911,10,4.1,0.668
912,10,4.11,0.605
913,10,4.12,0.607
914,10,4.13,0.628
915,10,4.14,0.638
916,10,4.15,0.605
917,10,4.16,0.632
918,10,4.17,0.609
919,10,4.18,0.641
920,10,4.19,0.607
921,10,4.2,0.599
922,10,4.21,0.615
923,10,4.22,0.609
924,10,4.23,0.616
925,10,4.24,0.596
926,10,4.25,0.613
927,10,4.26,0.645
928,10,4.2700000000000005,0.589
929,10,4.28,0.627
930,10,4.29,0.627
931,10,4.3,0.621
932,10,4.3100000000000005,0.601
933,10,4.32,0.602
934,10,4.33,0.614
935,10,4.34,0.625
936,10,4.3500000000000005,0.623
937,10,4.36,0.601
938,10,4.37,0.579
939,10,4.38,0.58
940,10,4.39,0.597
941,10,4.4,0.602
942,10,4.41,0.612
943,10,4.42,0.593
944,10,4.43,0.595
945,10,4.44,0.594
946,10,4.45,0.577
947,10,4.46,0.577
948,10,4.47,0.598
949,10,4.48,0.603
950,10,4.49,0.609
951,10,4.5,0.603
952,10,4.51,0.605
953,10,4.5200000000000005,0.602
954,10,4.53,0.584
955,10,4.54,0.593
956,10,4.55,0.604
957,10,4.5600000000000005,0.591
958,10,4.57,0.608
959,10,4.58,0.61
960,10,4.59,0.621
961,10,4.6000000000000005,0.621
962,10,4.61,0.608
963,10,4.62,0.628
964,10,4.63,0.593
965,10,4.64,0.573
966,10,4.65,0.583
967,10,4.66,0.568
968,10,4.67,0.583
969,10,4.68,0.608
970,10,4.69,0.584
971,10,4.7,0.583
972,10,4.71,0.587
973,10,4.72,0.585
974,10,4.73,0.599
975,10,4.74,0.562
976,10,4.75,0.564
977,10,4.76,0.579
978,10,4.7700000000000005,0.584
979,10,4.78,0.565
980,10,4.79,0.594
981,10,4.8,0.546
982,10,4.8100000000000005,0.597
983,10,4.82,0.564
984,10,4.83,0.594
985,10,4.84,0.565
986,10,4.8500000000000005,0.595
987,10,4.86,0.579
988,10,4.87,0.59
989,10,4.88,0.585
990,10,4.89,0.588
991,10,4.9,0.588
992,10,4.91,0.601
993,10,4.92,0.548
994,10,4.93,0.573
995,10,4.94,0.585
996,10,4.95,0.594
997,10,4.96,0.566
998,10,4.97,0.55
999,10,4.98,0.571
1000,10,4.99,0.554
1001,10,5.0,0.573
1002,40,0.0,0.055
1003,40,0.01,0.053
1004,40,0.02,0.058
1005,40,0.03,0.046
1006,40,0.04,0.05
1007,40,0.05,0.077
1008,40,0.06,0.058
1009,40,0.07,0.055
1010,40,0.08,0.056
1011,40,0.09,0.052
1012,40,0.1,0.065
1013,40,0.11,0.061
1014,40,0.12,0.081
1015,40,0.13,0.072
1016,40,0.14,0.089
1017,40,0.15,0.059
1018,40,0.16,0.081
1019,40,0.17,0.077
1020,40,0.18,0.07
1021,40,0.19,0.07
1022,40,0.2,0.083
1023,40,0.21,0.076
1024,40,0.22,0.09
1025,40,0.23,0.085
1026,40,0.24,0.088
1027,40,0.25,0.098
1028,40,0.26,0.095
1029,40,0.27,0.126
1030,40,0.28,0.11
1031,40,0.29,0.113
1032,40,0.3,0.123
1033,40,0.31,0.128
1034,40,0.32,0.126
1035,40,0.33,0.123
1036,40,0.34,0.143
1037,40,0.35000000000000003,0.146
1038,40,0.36,0.149
1039,40,0.37,0.182
1040,40,0.38,0.165
1041,40,0.39,0.187
1042,40,0.4,0.194
1043,40,0.41000000000000003,0.192
1044,40,0.42,0.208
1045,40,0.43,0.203
1046,40,0.44,0.21
1047,40,0.45,0.236
1048,40,0.46,0.238
1049,40,0.47000000000000003,0.258
1050,40,0.48,0.266
1051,40,0.49,0.261
1052,40,0.5,0.273
1053,40,0.51,0.277
1054,40,0.52,0.305
1055,40,0.53,0.335
1056,40,0.54,0.339
1057,40,0.55,0.324
1058,40,0.56,0.354
1059,40,0.5700000000000001,0.355
1060,40,0.58,0.392
1061,40,0.59,0.409
1062,40,0.6,0.389
1063,40,0.61,0.43
1064,40,0.62,0.416
1065,40,0.63,0.457
1066,40,0.64,0.469
1067,40,0.65,0.47
1068,40,0.66,0.509
1069,40,0.67,0.495
1070,40,0.68,0.497
1071,40,0.6900000000000001,0.526
1072,40,0.7000000000000001,0.541
1073,40,0.71,0.535
1074,40,0.72,0.56
1075,40,0.73,0.57
1076,40,0.74,0.572
1077,40,0.75,0.561
