,mu,sigma,success_rate
8326,2.56,0.44,0.5633333333333334
8327,2.56,0.45,0.563
8328,2.56,0.46,0.5806666666666667
8329,2.56,0.47,0.582
8330,2.56,0.48,0.602
8331,2.56,0.49,0.6133333333333333
8332,2.56,0.5,0.6273333333333333
8333,2.56,0.51,0.6416666666666667
8334,2.56,0.52,0.65
8335,2.56,0.53,0.6553333333333333
8336,2.56,0.54,0.6696666666666666
8337,2.56,0.55,0.662
8338,2.56,0.56,0.7076666666666667
8339,2.56,0.57,0.704
8340,2.56,0.58,0.726
8341,2.56,0.59,0.7193333333333334
8342,2.56,0.6,0.735
8343,2.56,0.61,0.7356666666666667
8344,2.56,0.62,0.751
8345,2.56,0.63,0.7566666666666667
8346,2.56,0.64,0.761
8347,2.56,0.65,0.7613333333333333
8348,2.56,0.66,0.7763333333333333
8349,2.56,0.67,0.774
8350,2.56,0.68,0.7813333333333333
8351,2.56,0.69,0.7896666666666666
8352,2.56,0.7,0.7953333333333333
8353,2.56,0.71,0.789
8354,2.56,0.72,0.8036666666666666
8355,2.56,0.73,0.802
8356,2.56,0.74,0.7996666666666666
8357,2.56,0.75,0.8226666666666667
8358,2.56,0.76,0.8013333333333333
8359,2.56,0.77,0.8166666666666667
8360,2.56,0.78,0.8166666666666667
8361,2.56,0.79,0.814
8362,2.56,0.8,0.8126666666666666
8363,2.56,0.81,0.818
8364,2.56,0.82,0.835
8365,2.56,0.83,0.822
8366,2.56,0.84,0.8253333333333334
8367,2.56,0.85,0.8243333333333334
8368,2.56,0.86,0.815
8369,2.56,0.87,0.8293333333333334
8370,2.56,0.88,0.827
8371,2.56,0.89,0.8263333333333334
8372,2.56,0.9,0.8373333333333334
8373,2.56,0.91,0.8296666666666667
8374,2.56,0.92,0.8163333333333334
8375,2.56,0.93,0.839
8376,2.56,0.94,0.833
8377,2.56,0.95,0.8343333333333334
8378,2.56,0.96,0.8316666666666667
8379,2.56,0.97,0.8366666666666667
8380,2.56,0.98,0.8333333333333334
8381,2.56,0.99,0.832
8382,2.56,1.0,0.836
8383,2.64,0.0,0.12533333333333332
8384,2.64,0.01,0.13966666666666666
8385,2.64,0.02,0.13166666666666665
8386,2.64,0.03,0.14166666666666666
8387,2.64,0.04,0.157
8388,2.64,0.05,0.14766666666666667
8389,2.64,0.06,0.16566666666666666
8390,2.64,0.07,0.155
8391,2.64,0.08,0.164
8392,2.64,0.09,0.173
8393,2.64,0.1,0.17466666666666666
8394,2.64,0.11,0.17666666666666667
8395,2.64,0.12,0.17666666666666667
8396,2.64,0.13,0.19766666666666666
8397,2.64,0.14,0.19
8398,2.64,0.15,0.207
8399,2.64,0.16,0.19866666666666666
8400,2.64,0.17,0.22133333333333333
8401,2.64,0.18,0.217
8402,2.64,0.19,0.218
8403,2.64,0.2,0.234
8404,2.64,0.21,0.241
8405,2.64,0.22,0.24933333333333332
8406,2.64,0.23,0.26
8407,2.64,0.24,0.2763333333333333
8408,2.64,0.25,0.2753333333333333
8409,2.64,0.26,0.2906666666666667
8410,2.64,0.27,0.304
8411,2.64,0.28,0.329
8412,2.64,0.29,0.3283333333333333
8413,2.64,0.3,0.341
8414,2.64,0.31,0.3333333333333333
8415,2.64,0.32,0.363
8416,2.64,0.33,0.36033333333333334
8417,2.64,0.34,0.36866666666666664
8418,2.64,0.35,0.40066666666666667
8419,2.64,0.36,0.4103333333333333
8420,2.64,0.37,0.409
8421,2.64,0.38,0.4246666666666667
8422,2.64,0.39,0.43633333333333335
8423,2.64,0.4,0.4503333333333333
8424,2.64,0.41,0.471
8425,2.64,0.42,0.498
8426,2.64,0.43,0.4856666666666667
8427,2.64,0.44,0.522
8428,2.64,0.45,0.536
8429,2.64,0.46,0.5356666666666666
8430,2.64,0.47,0.552
8431,2.64,0.48,0.5643333333333334
8432,2.64,0.49,0.5736666666666667
8433,2.64,0.5,0.5933333333333334
8434,2.64,0.51,0.6006666666666667
8435,2.64,0.52,0.5986666666666667
8436,2.64,0.53,0.6233333333333333
8437,2.64,0.54,0.6156666666666667
8438,2.64,0.55,0.6473333333333333
8439,2.64,0.56,0.6533333333333333
8440,2.64,0.57,0.659
8441,2.64,0.58,0.665
8442,2.64,0.59,0.6863333333333334
8443,2.64,0.6,0.6976666666666667
8444,2.64,0.61,0.7006666666666667
8445,2.64,0.62,0.7126666666666667
8446,2.64,0.63,0.7253333333333334
8447,2.64,0.64,0.721
8448,2.64,0.65,0.7383333333333333
8449,2.64,0.66,0.739
8450,2.64,0.67,0.7406666666666667
8451,2.64,0.68,0.761
8452,2.64,0.69,0.7563333333333333
8453,2.64,0.7,0.775
8454,2.64,0.71,0.7803333333333333
8455,2.64,0.72,0.775
8456,2.64,0.73,0.78
8457,2.64,0.74,0.7833333333333333
8458,2.64,0.75,0.8006666666666666
8459,2.64,0.76,0.7986666666666666
8460,2.64,0.77,0.786
8461,2.64,0.78,0.8013333333333333
8462,2.64,0.79,0.7976666666666666
8463,2.64,0.8,0.8053333333333333
8464,2.64,0.81,0.8033333333333333
8465,2.64,0.82,0.8166666666666667
8466,2.64,0.83,0.8126666666666666
8467,2.64,0.84,0.809
8468,2.64,0.85,0.808
8469,2.64,0.86,0.8176666666666667
8470,2.64,0.87,0.8256666666666667
8471,2.64,0.88,0.826
8472,2.64,0.89,0.8136666666666666
8473,2.64,0.9,0.8273333333333334
8474,2.64,0.91,0.8206666666666667
8475,2.64,0.92,0.824
8476,2.64,0.93,0.8193333333333334
8477,2.64,0.94,0.8233333333333334
8478,2.64,0.95,0.8143333333333334
8479,2.64,0.96,0.83
8480,2.64,0.97,0.8106666666666666
8481,2.64,0.98,0.816
8482,2.64,0.99,0.818
8483,2.64,1.0,0.825
8484,2.72,0.0,0.11633333333333333
8485,2.72,0.01,0.131
8486,2.72,0.02,0.13166666666666665
8487,2.72,0.03,0.139
8488,2.72,0.04,0.15166666666666667
8489,2.72,0.05,0.13333333333333333
8490,2.72,0.06,0.14533333333333334
8491,2.72,0.07,0.14933333333333335
8492,2.72,0.08,0.14833333333333334
8493,2.72,0.09,0.155
8494,2.72,0.1,0.15033333333333335
8495,2.72,0.11,0.16366666666666665
8496,2.72,0.12,0.155
8497,2.72,0.13,0.18066666666666667
8498,2.72,0.14,0.175
8499,2.72,0.15,0.17866666666666667
8500,2.72,0.16,0.18066666666666667
8501,2.72,0.17,0.20633333333333334
8502,2.72,0.18,0.207
8503,2.72,0.19,0.192
8504,2.72,0.2,0.22333333333333333
8505,2.72,0.21,0.223
8506,2.72,0.22,0.23533333333333334
