$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
1.84,3.68,0.24,0.24,0.272
2.68,5.36,0.08,0.08,0.221
2.16,4.32,0.44,0.44,0.282
1.6,3.2,0.8,0.8,0.514
0.84,1.68,0.96,0.96,0.687
3.72,7.44,0.12,0.12,0.203
3.8,7.6,0.88,0.88,0.338
0.52,1.04,0.0,0.0,0.213
2.4,4.8,0.64,0.64,0.36
0.56,1.12,0.76,0.76,0.637
0.28,0.56,0.56,0.56,0.561
2.72,5.44,0.84,0.84,0.389
2.96,5.92,0.28,0.28,0.238
0.8,1.6,0.2,0.2,0.265
3.52,7.04,0.68,0.68,0.326
2.72,5.44,0.08,0.08,0.205
3.24,6.48,0.48,0.48,0.269
1.6,3.2,0.04,0.04,0.202
1.36,2.72,0.6,0.6,0.439
1.08,2.16,0.4,0.4,0.346
0.04,0.08,0.36,0.36,0.469
1.64,3.28,0.8,0.8,0.49
0.56,1.12,0.0,0.0,0.196
1.88,3.76,0.24,0.24,0.268
2.2,4.4,0.44,0.44,0.332
3.76,7.52,0.12,0.12,0.238
3.84,7.68,0.88,0.88,0.365
0.88,1.76,0.96,0.96,0.678
0.6,1.2,0.76,0.76,0.643
2.44,4.88,0.64,0.64,0.336
2.76,5.52,0.84,0.84,0.366
0.32,0.64,0.56,0.56,0.556
0.84,1.68,0.2,0.2,0.263
3.0,6.0,0.28,0.28,0.254
0.08,0.16,0.36,0.36,0.449
1.4,2.8,0.6,0.6,0.429
2.76,5.52,0.08,0.08,0.221
3.28,6.56,0.48,0.48,0.272
3.56,7.12,0.68,0.68,0.315
1.64,3.28,0.04,0.04,0.215
0.6,1.2,0.0,0.0,0.164
1.68,3.36,0.8,0.8,0.499
1.12,2.24,0.4,0.4,0.372
2.24,4.48,0.44,0.44,0.293
1.92,3.84,0.24,0.24,0.252
0.92,1.84,0.96,0.96,0.663
3.8,7.6,0.12,0.12,0.239
3.88,7.76,0.88,0.88,0.367
