$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
2.88,5.76,1.08,1.08,0.462
1.8,3.6,1.04,1.04,0.579
1.08,2.16,1.4,1.4,0.795
0.84,1.68,1.96,1.96,0.872
2.68,5.36,1.84,1.84,0.71
1.0,2.0,1.2,1.2,0.764
2.36,4.72,1.64,1.64,0.72
3.8,7.6,1.12,1.12,0.415
2.28,4.56,1.44,1.44,0.636
1.6,3.2,1.8,1.8,0.82
3.6,7.2,1.68,1.68,0.567
0.12,0.24,1.36,1.36,0.848
0.32,0.64,1.56,1.56,0.836
2.16,4.32,1.24,1.24,0.588
1.8,3.6,2.0,2.0,0.824
1.48,2.96,1.6,1.6,0.775
3.28,6.56,1.48,1.48,0.524
3.2,6.4,1.28,1.28,0.489
0.56,1.12,1.76,1.76,0.86
2.92,5.84,1.08,1.08,0.473
1.12,2.24,1.4,1.4,0.801
3.84,7.68,1.12,1.12,0.417
3.76,7.52,1.88,1.88,0.61
0.88,1.76,1.96,1.96,0.858
1.84,3.68,1.04,1.04,0.564
1.04,2.08,1.2,1.2,0.74
2.72,5.44,1.84,1.84,0.71
2.4,4.8,1.64,1.64,0.691
1.64,3.28,1.8,1.8,0.786
0.16,0.32,1.36,1.36,0.854
2.2,4.4,1.24,1.24,0.583
3.64,7.28,1.68,1.68,0.573
2.32,4.64,1.44,1.44,0.655
1.84,3.68,2.0,2.0,0.829
0.36,0.72,1.56,1.56,0.857
2.96,5.92,1.08,1.08,0.442
3.24,6.48,1.28,1.28,0.491
0.6,1.2,1.76,1.76,0.846
1.52,3.04,1.6,1.6,0.804
0.92,1.84,1.96,1.96,0.867
1.16,2.32,1.4,1.4,0.789
3.32,6.64,1.48,1.48,0.538
2.44,4.88,1.64,1.64,0.678
3.88,7.76,1.12,1.12,0.381
1.88,3.76,1.04,1.04,0.565
1.68,3.36,1.8,1.8,0.808
2.76,5.52,1.84,1.84,0.688
3.8,7.6,1.88,1.88,0.621
1.08,2.16,1.2,1.2,0.739
0.2,0.4,1.36,1.36,0.841
1.88,3.76,2.0,2.0,0.806
2.24,4.48,1.24,1.24,0.61
2.36,4.72,1.44,1.44,0.634
3.28,6.56,1.28,1.28,0.502
0.96,1.92,1.96,1.96,0.873
3.68,7.36,1.68,1.68,0.567
0.4,0.8,1.56,1.56,0.863
3.0,6.0,1.08,1.08,0.456
3.36,6.72,1.48,1.48,0.574
2.48,4.96,1.64,1.64,0.693
1.2,2.4,1.4,1.4,0.781
0.64,1.28,1.76,1.76,0.859
2.8,5.6,1.84,1.84,0.705
1.56,3.12,1.6,1.6,0.763
1.72,3.44,1.8,1.8,0.81
3.84,7.68,1.88,1.88,0.611
1.92,3.84,1.04,1.04,0.56
3.92,7.84,1.12,1.12,0.434
0.24,0.48,1.36,1.36,0.835
1.92,3.84,2.0,2.0,0.787
1.12,2.24,1.2,1.2,0.705
2.4,4.8,1.44,1.44,0.643
3.72,7.44,1.68,1.68,0.55
0.44,0.88,1.56,1.56,0.836
2.28,4.56,1.24,1.24,0.585
3.32,6.64,1.28,1.28,0.484
1.0,2.0,1.96,1.96,0.859
3.04,6.08,1.08,1.08,0.452
3.4,6.8,1.48,1.48,0.536
2.52,5.04,1.64,1.64,0.664
1.24,2.48,1.4,1.4,0.762
3.96,7.92,1.12,1.12,0.45
0.68,1.36,1.76,1.76,0.868
3.88,7.76,1.88,1.88,0.585
2.84,5.68,1.84,1.84,0.689
1.76,3.52,1.8,1.8,0.811
0.28,0.56,1.36,1.36,0.834
1.6,3.2,1.6,1.6,0.801
1.16,2.32,1.2,1.2,0.731
1.96,3.92,1.04,1.04,0.568
1.96,3.92,2.0,2.0,0.785
2.44,4.88,1.44,1.44,0.628
2.32,4.64,1.24,1.24,0.589
3.76,7.52,1.68,1.68,0.542
0.48,0.96,1.56,1.56,0.863
3.36,6.72,1.28,1.28,0.521
1.04,2.08,1.96,1.96,0.857
3.08,6.16,1.08,1.08,0.473
3.44,6.88,1.48,1.48,0.535
1.28,2.56,1.4,1.4,0.761
2.56,5.12,1.64,1.64,0.672
4.0,8.0,1.12,1.12,0.408
1.64,3.28,1.6,1.6,0.776
3.92,7.84,1.88,1.88,0.604
2.88,5.76,1.84,1.84,0.68
0.72,1.44,1.76,1.76,0.855
0.32,0.64,1.36,1.36,0.832
1.8,3.6,1.8,1.8,0.79
2.0,4.0,2.0,2.0,0.825
2.0,4.0,1.04,1.04,0.541
1.2,2.4,1.2,1.2,0.729
3.8,7.6,1.68,1.68,0.555
2.36,4.72,1.24,1.24,0.55
2.48,4.96,1.44,1.44,0.618
0.52,1.04,1.56,1.56,0.85
3.4,6.8,1.28,1.28,0.48
3.48,6.96,1.48,1.48,0.539
1.68,3.36,1.6,1.6,0.737
3.12,6.24,1.08,1.08,0.407
1.32,2.64,1.4,1.4,0.767
1.08,2.16,1.96,1.96,0.85
0.0,0.0,1.16,1.16,0.807
3.96,7.92,1.88,1.88,0.593
0.36,0.72,1.36,1.36,0.844
2.04,4.08,2.0,2.0,0.813
2.6,5.2,1.64,1.64,0.659
1.24,2.48,1.2,1.2,0.71
1.84,3.68,1.8,1.8,0.791
0.76,1.52,1.76,1.76,0.846
2.04,4.08,1.04,1.04,0.557
2.4,4.8,1.24,1.24,0.56
2.92,5.84,1.84,1.84,0.691
3.84,7.68,1.68,1.68,0.571
2.52,5.04,1.44,1.44,0.603
3.44,6.88,1.28,1.28,0.47
0.56,1.12,1.56,1.56,0.825
1.36,2.72,1.4,1.4,0.753
1.72,3.44,1.6,1.6,0.743
1.12,2.24,1.96,1.96,0.832
4.0,8.0,1.88,1.88,0.58
3.16,6.32,1.08,1.08,0.443
2.08,4.16,2.0,2.0,0.811
3.52,7.04,1.48,1.48,0.51
0.4,0.8,1.36,1.36,0.834
0.04,0.08,1.16,1.16,0.813
2.64,5.28,1.64,1.64,0.682
2.44,4.88,1.24,1.24,0.565
2.08,4.16,1.04,1.04,0.537
1.88,3.76,1.8,1.8,0.784
1.28,2.56,1.2,1.2,0.693
3.88,7.76,1.68,1.68,0.568
2.96,5.92,1.84,1.84,0.672
2.56,5.12,1.44,1.44,0.594
0.8,1.6,1.76,1.76,0.83
1.4,2.8,1.4,1.4,0.747
3.48,6.96,1.28,1.28,0.488
1.76,3.52,1.6,1.6,0.758
1.16,2.32,1.96,1.96,0.872
3.2,6.4,1.08,1.08,0.46
0.6,1.2,1.56,1.56,0.84
0.08,0.16,1.16,1.16,0.78
3.56,7.12,1.48,1.48,0.549
2.12,4.24,2.0,2.0,0.806
0.0,0.0,1.92,1.92,0.879
3.92,7.84,1.68,1.68,0.568
1.92,3.84,1.8,1.8,0.772
2.48,4.96,1.24,1.24,0.556
0.44,0.88,1.36,1.36,0.83
2.12,4.24,1.04,1.04,0.496
2.68,5.36,1.64,1.64,0.668
1.32,2.64,1.2,1.2,0.71
3.0,6.0,1.84,1.84,0.664
2.6,5.2,1.44,1.44,0.607
1.44,2.88,1.4,1.4,0.745
0.84,1.68,1.76,1.76,0.867
1.8,3.6,1.6,1.6,0.747
3.24,6.48,1.08,1.08,0.456
3.52,7.04,1.28,1.28,0.478
1.2,2.4,1.96,1.96,0.844
0.64,1.28,1.56,1.56,0.842
2.16,4.32,2.0,2.0,0.8
0.12,0.24,1.16,1.16,0.815
0.48,0.96,1.36,1.36,0.844
1.96,3.92,1.8,1.8,0.762
3.6,7.2,1.48,1.48,0.51
2.16,4.32,1.04,1.04,0.52
2.52,5.04,1.24,1.24,0.545
0.04,0.08,1.92,1.92,0.875
3.96,7.92,1.68,1.68,0.542
2.72,5.44,1.64,1.64,0.645
2.64,5.28,1.44,1.44,0.588
1.36,2.72,1.2,1.2,0.677
3.04,6.08,1.84,1.84,0.663
1.48,2.96,1.4,1.4,0.753
0.88,1.76,1.76,1.76,0.821
3.56,7.12,1.28,1.28,0.476
1.84,3.68,1.6,1.6,0.733
3.28,6.56,1.08,1.08,0.441
0.16,0.32,1.16,1.16,0.787
0.68,1.36,1.56,1.56,0.84
1.24,2.48,1.96,1.96,0.862
2.2,4.4,2.0,2.0,0.758
0.52,1.04,1.36,1.36,0.814
2.0,4.0,1.8,1.8,0.756
2.2,4.4,1.04,1.04,0.519
2.56,5.12,1.24,1.24,0.539
4.0,8.0,1.68,1.68,0.556
1.4,2.8,1.2,1.2,0.701
3.64,7.28,1.48,1.48,0.505
2.76,5.52,1.64,1.64,0.653
0.08,0.16,1.92,1.92,0.883
1.52,3.04,1.4,1.4,0.744
2.68,5.36,1.44,1.44,0.617
3.08,6.16,1.84,1.84,0.657
0.92,1.84,1.76,1.76,0.857
3.6,7.2,1.28,1.28,0.47
0.72,1.44,1.56,1.56,0.83
2.24,4.48,2.0,2.0,0.764
1.28,2.56,1.96,1.96,0.842
3.32,6.64,1.08,1.08,0.428
1.88,3.76,1.6,1.6,0.746
0.56,1.12,1.36,1.36,0.815
0.2,0.4,1.16,1.16,0.794
2.04,4.08,1.8,1.8,0.754
2.24,4.48,1.04,1.04,0.486
1.44,2.88,1.2,1.2,0.679
1.56,3.12,1.4,1.4,0.725
0.96,1.92,1.76,1.76,0.837
2.72,5.44,1.44,1.44,0.586
2.6,5.2,1.24,1.24,0.561
3.12,6.24,1.84,1.84,0.643
0.12,0.24,1.92,1.92,0.883
3.68,7.36,1.48,1.48,0.508
2.8,5.6,1.64,1.64,0.66
0.0,0.0,1.72,1.72,0.881
3.64,7.28,1.28,1.28,0.455
0.76,1.52,1.56,1.56,0.85
1.48,2.96,1.2,1.2,0.7
2.28,4.56,1.04,1.04,0.508
1.32,2.64,1.96,1.96,0.844
2.28,4.56,2.0,2.0,0.799
1.92,3.84,1.6,1.6,0.744
3.36,6.72,1.08,1.08,0.427
0.24,0.48,1.16,1.16,0.802
0.6,1.2,1.36,1.36,0.833
2.08,4.16,1.8,1.8,0.742
1.6,3.2,1.4,1.4,0.7
2.76,5.52,1.44,1.44,0.583
2.64,5.28,1.24,1.24,0.576
0.04,0.08,1.72,1.72,0.886
1.0,2.0,1.76,1.76,0.846
3.16,6.32,1.84,1.84,0.658
3.68,7.36,1.28,1.28,0.453
0.16,0.32,1.92,1.92,0.875
3.72,7.44,1.48,1.48,0.486
2.84,5.68,1.64,1.64,0.637
1.52,3.04,1.2,1.2,0.673
0.8,1.6,1.56,1.56,0.834
2.32,4.64,1.04,1.04,0.506
2.32,4.64,2.0,2.0,0.801
1.64,3.28,1.4,1.4,0.711
2.8,5.6,1.44,1.44,0.576
1.36,2.72,1.96,1.96,0.838
3.4,6.8,1.08,1.08,0.424
1.96,3.92,1.6,1.6,0.739
0.28,0.56,1.16,1.16,0.806
2.12,4.24,1.8,1.8,0.76
0.64,1.28,1.36,1.36,0.815
3.72,7.44,1.28,1.28,0.476
0.08,0.16,1.72,1.72,0.875
3.2,6.4,1.84,1.84,0.674
2.68,5.36,1.24,1.24,0.54
1.04,2.08,1.76,1.76,0.844
0.2,0.4,1.92,1.92,0.871
0.84,1.68,1.56,1.56,0.844
1.56,3.12,1.2,1.2,0.657
3.76,7.52,1.48,1.48,0.528
2.88,5.76,1.64,1.64,0.65
2.36,4.72,1.04,1.04,0.478
1.68,3.36,1.4,1.4,0.701
2.36,4.72,2.0,2.0,0.805
1.4,2.8,1.96,1.96,0.837
2.16,4.32,1.8,1.8,0.758
2.84,5.68,1.44,1.44,0.6
0.32,0.64,1.16,1.16,0.785
2.0,4.0,1.6,1.6,0.728
3.44,6.88,1.08,1.08,0.434
3.24,6.48,1.84,1.84,0.67
0.68,1.36,1.36,1.36,0.812
2.72,5.44,1.24,1.24,0.513
3.76,7.52,1.28,1.28,0.455
0.88,1.76,1.56,1.56,0.836
0.12,0.24,1.72,1.72,0.885
1.08,2.16,1.76,1.76,0.841
0.24,0.48,1.92,1.92,0.862
1.6,3.2,1.2,1.2,0.666
2.4,4.8,1.04,1.04,0.489
3.8,7.6,1.48,1.48,0.494
2.92,5.84,1.64,1.64,0.649
1.72,3.44,1.4,1.4,0.715
2.4,4.8,2.0,2.0,0.758
0.36,0.72,1.16,1.16,0.759
2.8,5.6,2.0,2.0,0.71
3.28,6.56,1.84,1.84,0.651
2.2,4.4,1.8,1.8,0.775
0.92,1.84,1.56,1.56,0.823
2.88,5.76,1.44,1.44,0.616
1.44,2.88,1.96,1.96,0.826
0.72,1.44,1.36,1.36,0.789
2.04,4.08,1.6,1.6,0.696
3.8,7.6,1.28,1.28,0.461
3.48,6.96,1.08,1.08,0.423
0.28,0.56,1.92,1.92,0.875
1.12,2.24,1.76,1.76,0.841
0.16,0.32,1.72,1.72,0.875
1.64,3.28,1.2,1.2,0.652
2.96,5.92,1.64,1.64,0.637
3.84,7.68,1.48,1.48,0.484
2.44,4.88,1.04,1.04,0.484
2.44,4.88,2.0,2.0,0.789
1.76,3.52,1.4,1.4,0.693
2.24,4.48,1.8,1.8,0.745
0.4,0.8,1.16,1.16,0.787
0.76,1.52,1.36,1.36,0.784
3.88,7.76,2.04,2.04,0.643
0.96,1.92,1.56,1.56,0.807
1.16,2.32,1.76,1.76,0.816
2.92,5.84,1.44,1.44,0.583
3.32,6.64,1.84,1.84,0.625
2.84,5.68,2.0,2.0,0.72
2.08,4.16,1.6,1.6,0.733
3.52,7.04,1.08,1.08,0.444
0.32,0.64,1.92,1.92,0.862
1.48,2.96,1.96,1.96,0.843
0.2,0.4,1.72,1.72,0.867
2.48,4.96,2.0,2.0,0.744
3.0,6.0,1.64,1.64,0.631
0.92,1.84,2.12,2.12,0.863
2.0,4.0,2.16,2.16,0.825
3.88,7.76,1.48,1.48,0.473
1.8,3.6,1.4,1.4,0.706
0.44,0.88,1.16,1.16,0.79
2.96,5.92,1.44,1.44,0.575
0.8,1.6,1.36,1.36,0.779
2.28,4.56,1.8,1.8,0.728
3.92,7.84,2.04,2.04,0.638
2.12,4.24,1.6,1.6,0.696
1.52,3.04,1.96,1.96,0.826
1.2,2.4,1.76,1.76,0.843
2.88,5.76,2.0,2.0,0.729
3.36,6.72,1.84,1.84,0.65
1.0,2.0,1.56,1.56,0.815
3.08,6.16,2.2,2.2,0.74
0.36,0.72,1.92,1.92,0.887
0.24,0.48,1.72,1.72,0.867
0.96,1.92,2.12,2.12,0.87
3.04,6.08,1.64,1.64,0.624
2.04,4.08,2.16,2.16,0.816
2.52,5.04,2.0,2.0,0.763
3.92,7.84,1.48,1.48,0.502
1.84,3.68,1.4,1.4,0.701
3.0,6.0,1.44,1.44,0.592
0.48,0.96,1.16,1.16,0.775
0.84,1.68,1.36,1.36,0.799
1.04,2.08,1.56,1.56,0.816
2.32,4.64,1.8,1.8,0.726
3.96,7.92,2.04,2.04,0.622
1.56,3.12,1.96,1.96,0.843
1.24,2.48,1.76,1.76,0.842
2.92,5.84,2.0,2.0,0.723
2.16,4.32,1.6,1.6,0.733
3.08,6.16,1.64,1.64,0.617
3.4,6.8,1.84,1.84,0.654
0.4,0.8,1.92,1.92,0.888
3.12,6.24,2.2,2.2,0.729
2.56,5.12,2.0,2.0,0.733
1.0,2.0,2.12,2.12,0.884
0.28,0.56,1.72,1.72,0.865
3.96,7.92,1.48,1.48,0.493
2.08,4.16,2.16,2.16,0.822
4.0,8.0,2.04,2.04,0.654
1.88,3.76,1.4,1.4,0.686
0.12,0.24,2.28,2.28,0.879
0.52,1.04,1.16,1.16,0.748
1.2,2.4,2.32,2.32,0.868
1.28,2.56,1.76,1.76,0.823
1.08,2.16,1.56,1.56,0.828
4.0,8.0,1.48,1.48,0.507
1.04,2.08,2.12,2.12,0.85
1.6,3.2,1.96,1.96,0.827
2.96,5.92,2.0,2.0,0.719
2.2,4.4,1.6,1.6,0.697
2.6,5.2,2.0,2.0,0.755
2.36,4.72,1.8,1.8,0.71
0.32,0.64,1.72,1.72,0.895
2.12,4.24,2.16,2.16,0.828
3.12,6.24,1.64,1.64,0.591
3.16,6.32,2.2,2.2,0.709
3.44,6.88,1.84,1.84,0.64
0.44,0.88,1.92,1.92,0.877
0.0,0.0,1.52,1.52,0.853
0.0,0.0,2.08,2.08,0.869
1.24,2.48,2.32,2.32,0.873
1.12,2.24,1.56,1.56,0.8
1.92,3.84,1.4,1.4,0.675
1.08,2.16,2.12,2.12,0.863
0.16,0.32,2.28,2.28,0.881
1.64,3.28,1.96,1.96,0.841
0.56,1.12,1.16,1.16,0.784
2.64,5.28,2.0,2.0,0.764
1.32,2.64,1.76,1.76,0.832
2.28,4.56,2.36,2.36,0.834
3.0,6.0,2.0,2.0,0.719
3.36,6.72,2.4,2.4,0.748
2.4,4.8,1.8,1.8,0.718
3.16,6.32,1.64,1.64,0.597
3.2,6.4,2.2,2.2,0.732
2.16,4.32,2.16,2.16,0.818
3.48,6.96,1.84,1.84,0.63
0.48,0.96,1.92,1.92,0.882
1.28,2.56,2.32,2.32,0.86
0.4,0.8,2.48,2.48,0.888
1.48,2.96,2.52,2.52,0.869
0.04,0.08,1.52,1.52,0.848
0.04,0.08,2.08,2.08,0.873
1.36,2.72,1.76,1.76,0.811
2.56,5.12,2.56,2.56,0.832
0.2,0.4,2.28,2.28,0.875
3.04,6.08,2.0,2.0,0.698
2.68,5.36,2.0,2.0,0.745
1.12,2.24,2.12,2.12,0.887
2.32,4.64,2.36,2.36,0.836
1.68,3.36,1.96,1.96,0.828
3.2,6.4,1.64,1.64,0.61
3.4,6.8,2.4,2.4,0.749
2.44,4.88,1.8,1.8,0.744
0.44,0.88,2.48,2.48,0.881
2.2,4.4,2.16,2.16,0.817
3.24,6.48,2.2,2.2,0.735
3.64,7.28,2.6,2.6,0.769
1.32,2.64,2.32,2.32,0.869
0.52,1.04,1.92,1.92,0.879
3.52,7.04,1.84,1.84,0.609
1.52,3.04,2.52,2.52,0.855
3.08,6.16,2.0,2.0,0.702
2.6,5.2,2.56,2.56,0.809
0.24,0.48,2.28,2.28,0.884
0.08,0.16,2.08,2.08,0.875
3.24,6.48,1.64,1.64,0.625
1.4,2.8,1.76,1.76,0.829
1.16,2.32,2.12,2.12,0.853
2.36,4.72,2.36,2.36,0.814
2.24,4.48,2.16,2.16,0.796
0.48,0.96,2.48,2.48,0.87
2.72,5.44,2.0,2.0,0.746
0.68,1.36,2.68,2.68,0.886
3.68,7.36,2.6,2.6,0.729
3.44,6.88,2.4,2.4,0.761
2.48,4.96,1.8,1.8,0.731
3.28,6.56,2.2,2.2,0.716
1.36,2.72,2.32,2.32,0.867
0.56,1.12,1.92,1.92,0.864
0.12,0.24,2.08,2.08,0.882
3.56,7.12,1.84,1.84,0.609
2.64,5.28,2.56,2.56,0.831
1.56,3.12,2.52,2.52,0.859
0.28,0.56,2.28,2.28,0.881
3.12,6.24,2.0,2.0,0.726
1.76,3.52,2.72,2.72,0.873
3.28,6.56,1.64,1.64,0.602
1.2,2.4,2.12,2.12,0.862
0.52,1.04,2.48,2.48,0.873
2.4,4.8,2.36,2.36,0.815
3.48,6.96,2.4,2.4,0.75
2.76,5.52,2.0,2.0,0.744
2.28,4.56,2.16,2.16,0.782
0.72,1.44,2.68,2.68,0.865
3.72,7.44,2.6,2.6,0.779
0.6,1.2,1.92,1.92,0.878
0.16,0.32,2.08,2.08,0.881
2.84,5.68,2.76,2.76,0.816
3.32,6.64,2.2,2.2,0.75
1.4,2.8,2.32,2.32,0.865
2.68,5.36,2.56,2.56,0.806
3.92,7.84,2.8,2.8,0.798
1.8,3.6,2.72,2.72,0.866
0.32,0.64,2.28,2.28,0.87
3.16,6.32,2.0,2.0,0.717
1.6,3.2,2.52,2.52,0.863
0.96,1.92,2.88,2.88,0.87
1.24,2.48,2.12,2.12,0.862
0.56,1.12,2.48,2.48,0.906
3.52,7.04,2.4,2.4,0.735
2.44,4.88,2.36,2.36,0.813
0.76,1.52,2.68,2.68,0.876
3.12,6.24,2.96,2.96,0.815
2.32,4.64,2.16,2.16,0.796
2.04,4.08,2.92,2.92,0.868
1.84,3.68,2.72,2.72,0.863
2.88,5.76,2.76,2.76,0.831
3.76,7.52,2.6,2.6,0.723
3.96,7.92,2.8,2.8,0.743
0.36,0.72,2.28,2.28,0.903
2.72,5.44,2.56,2.56,0.807
3.2,6.4,2.0,2.0,0.687
0.2,0.4,2.08,2.08,0.872
3.36,6.72,2.2,2.2,0.735
1.44,2.88,2.32,2.32,0.87
1.64,3.28,2.52,2.52,0.874
1.0,2.0,2.88,2.88,0.866
0.6,1.2,2.48,2.48,0.849
1.28,2.56,2.12,2.12,0.889
3.56,7.12,2.4,2.4,0.767
2.48,4.96,2.36,2.36,0.814
3.16,6.32,2.96,2.96,0.824
2.36,4.72,2.16,2.16,0.775
2.08,4.16,2.92,2.92,0.851
0.8,1.6,2.68,2.68,0.887
1.88,3.76,2.72,2.72,0.88
2.92,5.84,2.76,2.76,0.801
4.0,8.0,2.8,2.8,0.758
3.8,7.6,2.6,2.6,0.762
3.24,6.48,2.0,2.0,0.678
2.76,5.52,2.56,2.56,0.838
0.4,0.8,2.28,2.28,0.872
1.48,2.96,2.32,2.32,0.863
1.68,3.36,2.52,2.52,0.864
3.4,6.8,2.2,2.2,0.758
0.24,0.48,2.08,2.08,0.879
1.04,2.08,2.88,2.88,0.884
0.64,1.28,2.48,2.48,0.899
3.6,7.2,2.4,2.4,0.718
1.32,2.64,2.12,2.12,0.846
2.96,5.92,2.76,2.76,0.845
2.12,4.24,2.92,2.92,0.875
1.92,3.84,2.72,2.72,0.865
3.2,6.4,2.96,2.96,0.803
2.52,5.04,2.36,2.36,0.818
2.8,5.6,2.56,2.56,0.818
0.0,0.0,2.84,2.84,0.86
1.72,3.44,2.52,2.52,0.859
2.4,4.8,2.16,2.16,0.798
3.28,6.56,2.0,2.0,0.666
3.84,7.68,2.6,2.6,0.761
0.44,0.88,2.28,2.28,0.884
0.84,1.68,2.68,2.68,0.879
1.08,2.16,2.88,2.88,0.885
1.52,3.04,2.32,2.32,0.869
0.68,1.36,2.48,2.48,0.87
3.44,6.88,2.2,2.2,0.721
0.28,0.56,2.08,2.08,0.89
2.84,5.68,2.56,2.56,0.825
3.64,7.28,2.4,2.4,0.743
1.36,2.72,2.12,2.12,0.857
3.0,6.0,2.76,2.76,0.818
1.96,3.92,2.72,2.72,0.862
3.24,6.48,2.96,2.96,0.839
3.88,7.76,2.6,2.6,0.743
2.16,4.32,2.92,2.92,0.879
2.44,4.88,2.16,2.16,0.791
0.48,0.96,2.28,2.28,0.878
1.76,3.52,2.52,2.52,0.873
3.32,6.64,2.0,2.0,0.653
0.04,0.08,2.84,2.84,0.883
2.56,5.12,2.36,2.36,0.799
1.12,2.24,2.88,2.88,0.865
3.48,6.96,2.2,2.2,0.726
0.88,1.76,2.68,2.68,0.864
0.72,1.44,2.48,2.48,0.87
0.32,0.64,2.08,2.08,0.891
1.56,3.12,2.32,2.32,0.852
2.88,5.76,2.56,2.56,0.827
1.4,2.8,2.12,2.12,0.848
3.68,7.36,2.4,2.4,0.743
3.28,6.56,2.96,2.96,0.828
3.92,7.84,2.6,2.6,0.753
3.04,6.08,2.76,2.76,0.825
3.36,6.72,2.0,2.0,0.689
2.2,4.4,2.92,2.92,0.852
0.52,1.04,2.28,2.28,0.862
2.0,4.0,2.72,2.72,0.866
3.52,7.04,2.2,2.2,0.712
2.48,4.96,2.16,2.16,0.776
1.8,3.6,2.52,2.52,0.858
0.08,0.16,2.84,2.84,0.862
1.16,2.32,2.88,2.88,0.874
2.6,5.2,2.36,2.36,0.824
2.92,5.84,2.56,2.56,0.802
0.36,0.72,2.08,2.08,0.878
0.92,1.84,2.68,2.68,0.871
1.6,3.2,2.32,2.32,0.851
0.76,1.52,2.48,2.48,0.877
3.72,7.44,2.4,2.4,0.721
3.32,6.64,2.96,2.96,0.798
1.44,2.88,2.12,2.12,0.849
3.4,6.8,2.0,2.0,0.706
0.56,1.12,2.28,2.28,0.874
3.96,7.92,2.6,2.6,0.747
3.08,6.16,2.76,2.76,0.791
2.96,5.92,2.56,2.56,0.805
0.12,0.24,2.84,2.84,0.884
2.24,4.48,2.92,2.92,0.875
2.04,4.08,2.72,2.72,0.86
1.2,2.4,2.88,2.88,0.88
3.56,7.12,2.2,2.2,0.688
1.84,3.68,2.52,2.52,0.878
2.64,5.28,2.36,2.36,0.821
0.4,0.8,2.08,2.08,0.87
2.52,5.04,2.16,2.16,0.803
0.96,1.92,2.68,2.68,0.876
1.64,3.28,2.32,2.32,0.849
3.76,7.52,2.4,2.4,0.712
3.36,6.72,2.96,2.96,0.817
0.8,1.6,2.48,2.48,0.863
0.6,1.2,2.28,2.28,0.89
1.48,2.96,2.12,2.12,0.868
3.44,6.88,2.0,2.0,0.694
3.6,7.2,2.2,2.2,0.714
1.24,2.48,2.88,2.88,0.893
3.0,6.0,2.56,2.56,0.808
2.68,5.36,2.36,2.36,0.806
4.0,8.0,2.6,2.6,0.75
0.16,0.32,2.84,2.84,0.871
1.88,3.76,2.52,2.52,0.846
1.0,2.0,2.68,2.68,0.875
3.12,6.24,2.76,2.76,0.816
2.08,4.16,2.72,2.72,0.85
2.28,4.56,2.92,2.92,0.845
0.44,0.88,2.08,2.08,0.874
3.8,7.6,2.4,2.4,0.731
2.56,5.12,2.16,2.16,0.77
3.4,6.8,2.96,2.96,0.833
1.68,3.36,2.32,2.32,0.853
3.48,6.96,2.0,2.0,0.637
0.64,1.28,2.28,2.28,0.875
1.92,3.84,2.52,2.52,0.838
0.84,1.68,2.48,2.48,0.874
1.28,2.56,2.88,2.88,0.881
2.72,5.44,2.36,2.36,0.796
0.0,0.0,2.64,2.64,0.872
3.64,7.28,2.2,2.2,0.701
3.04,6.08,2.56,2.56,0.804
1.52,3.04,2.12,2.12,0.869
1.04,2.08,2.68,2.68,0.892
0.2,0.4,2.84,2.84,0.864
0.48,0.96,2.08,2.08,0.887
3.84,7.68,2.4,2.4,0.708
2.12,4.24,2.72,2.72,0.866
2.32,4.64,2.92,2.92,0.859
3.16,6.32,2.76,2.76,0.789
2.6,5.2,2.16,2.16,0.804
0.68,1.36,2.28,2.28,0.882
3.44,6.88,2.96,2.96,0.794
1.72,3.44,2.32,2.32,0.873
3.52,7.04,2.0,2.0,0.68
3.68,7.36,2.2,2.2,0.723
0.04,0.08,2.64,2.64,0.881
3.08,6.16,2.56,2.56,0.816
1.96,3.92,2.52,2.52,0.862
2.76,5.52,2.36,2.36,0.811
0.88,1.76,2.48,2.48,0.889
1.32,2.64,2.88,2.88,0.87
1.56,3.12,2.12,2.12,0.834
1.08,2.16,2.68,2.68,0.878
3.88,7.76,2.4,2.4,0.718
2.36,4.72,2.92,2.92,0.864
0.24,0.48,2.84,2.84,0.861
3.2,6.4,2.76,2.76,0.82
0.52,1.04,2.08,2.08,0.866
0.72,1.44,2.28,2.28,0.875
3.48,6.96,2.96,2.96,0.845
2.64,5.28,2.16,2.16,0.764
2.16,4.32,2.72,2.72,0.868
3.56,7.12,2.0,2.0,0.675
1.76,3.52,2.32,2.32,0.874
0.92,1.84,2.48,2.48,0.874
0.08,0.16,2.64,2.64,0.881
3.72,7.44,2.2,2.2,0.693
2.8,5.6,2.36,2.36,0.782
1.36,2.72,2.88,2.88,0.866
3.12,6.24,2.56,2.56,0.792
1.12,2.24,2.68,2.68,0.889
2.0,4.0,2.52,2.52,0.853
2.4,4.8,2.92,2.92,0.878
3.92,7.84,2.4,2.4,0.708
1.6,3.2,2.12,2.12,0.837
3.24,6.48,2.76,2.76,0.837
0.56,1.12,2.08,2.08,0.87
2.2,4.4,2.72,2.72,0.858
0.28,0.56,2.84,2.84,0.87
3.6,7.2,2.0,2.0,0.695
0.76,1.52,2.28,2.28,0.898
1.8,3.6,2.32,2.32,0.863
3.52,7.04,2.96,2.96,0.808
2.68,5.36,2.16,2.16,0.791
0.12,0.24,2.64,2.64,0.862
3.76,7.52,2.2,2.2,0.681
