,$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
34608,13.2,26.4,-0.4,-0.4,0.093
34609,13.2,26.4,-0.3,-0.3,0.103
34610,13.2,26.4,-0.2,-0.2,0.093
34611,13.2,26.4,-0.1,-0.1,0.098
34612,13.2,26.4,0,0,0.095
34613,13.2,26.4,0.1,0.1,0.101
34614,13.2,26.4,0.2,0.2,0.099
34615,13.2,26.4,0.3,0.3,0.111
34616,13.2,26.4,0.4,0.4,0.103
34617,13.2,26.4,0.5,0.5,0.097
34618,13.2,26.4,0.6,0.6,0.087
34619,13.2,26.4,0.7,0.7,0.098
34620,13.2,26.4,0.8,0.8,0.096
34621,13.2,26.4,0.9,0.9,0.093
34622,13.2,26.4,1,1,0.088
34623,13.2,26.4,1.1,1.1,0.087
34624,13.2,26.4,1.2,1.2,0.098
34625,13.2,26.4,1.3,1.3,0.108
34626,13.2,26.4,1.4,1.4,0.099
34627,13.2,26.4,1.5,1.5,0.105
34628,13.2,26.4,1.6,1.6,0.111
34629,13.2,26.4,1.7,1.7,0.105
34630,13.2,26.4,1.8,1.8,0.116
34631,13.2,26.4,1.9,1.9,0.09
34632,13.2,26.4,2,2,0.109
34633,13.2,26.4,2.1,2.1,0.119
34634,13.2,26.4,2.2,2.2,0.118
34635,13.2,26.4,2.3,2.3,0.098
34636,13.2,26.4,2.4,2.4,0.115
34637,13.2,26.4,2.5,2.5,0.111
34638,13.2,26.4,2.6,2.6,0.113
34639,13.2,26.4,2.7,2.7,0.088
34640,13.2,26.4,2.8,2.8,0.118
34641,13.2,26.4,2.9,2.9,0.116
34642,13.2,26.4,3,3,0.096
34643,13.2,26.4,3.1,3.1,0.086
34644,13.2,26.4,3.2,3.2,0.104
34645,13.2,26.4,3.3,3.3,0.09
34646,13.2,26.4,3.4,3.4,0.08
34647,13.2,26.4,3.5,3.5,0.106
34648,13.2,26.4,3.6,3.6,0.111
34649,13.2,26.4,3.7,3.7,0.097
34650,13.2,26.4,3.8,3.8,0.097
34651,13.2,26.4,3.9,3.9,0.109
34652,13.2,26.4,4,4,0.11
34653,13.2,26.4,4.1,4.1,0.088
34654,13.2,26.4,4.2,4.2,0.098
34655,13.2,26.4,4.3,4.3,0.096
34656,13.2,26.4,4.4,4.4,0.102
34657,13.2,26.4,4.5,4.5,0.103
34658,13.2,26.4,4.6,4.6,0.084
34659,13.2,26.4,4.7,4.7,0.106
34660,13.2,26.4,4.8,4.8,0.083
34661,13.2,26.4,4.9,4.9,0.095
34662,13.2,26.4,5,5,0.099
34663,13.2,26.4,5.1,5.1,0.097
34664,13.2,26.4,5.2,5.2,0.094
34665,13.2,26.4,5.3,5.3,0.089
34666,13.2,26.4,5.4,5.4,0.107
34667,13.2,26.4,5.5,5.5,0.112
34668,13.2,26.4,5.6,5.6,0.103
34669,13.2,26.4,5.7,5.7,0.094
34670,13.2,26.4,5.8,5.8,0.086
34671,13.2,26.4,5.9,5.9,0.099
34672,13.2,26.4,6,6,0.117
34673,13.2,26.4,6.1,6.1,0.098
34674,13.2,26.4,6.2,6.2,0.105
34675,13.2,26.4,6.3,6.3,0.1
34676,13.2,26.4,6.4,6.4,0.085
34677,13.2,26.4,6.5,6.5,0.108
34678,13.2,26.4,6.6,6.6,0.096
34679,13.2,26.4,6.7,6.7,0.089
34680,13.2,26.4,6.8,6.8,0.106
34681,13.2,26.4,6.9,6.9,0.109
34682,13.2,26.4,7,7,0.102
34683,13.2,26.4,7.1,7.1,0.105
34684,13.2,26.4,7.2,7.2,0.102
34685,13.2,26.4,7.3,7.3,0.096
34686,13.2,26.4,7.4,7.4,0.105
34687,13.2,26.4,7.5,7.5,0.101
34688,13.2,26.4,7.6,7.6,0.104
34689,13.2,26.4,7.7,7.7,0.114
34690,13.2,26.4,7.8,7.8,0.106
34691,13.2,26.4,7.9,7.9,0.129
34692,13.2,26.4,8,8,0.141
34693,13.2,26.4,8.1,8.1,0.132
34694,13.2,26.4,8.2,8.2,0.158
34695,13.2,26.4,8.3,8.3,0.174
34696,13.2,26.4,8.4,8.4,0.156
34697,13.2,26.4,8.5,8.5,0.198
34698,13.2,26.4,8.6,8.6,0.217
34699,13.2,26.4,8.7,8.7,0.232
34700,13.2,26.4,8.8,8.8,0.274
34701,13.2,26.4,8.9,8.9,0.283
34702,13.2,26.4,9,9,0.364
34703,13.2,26.4,9.1,9.1,0.346
34704,13.2,26.4,9.2,9.2,0.405
34705,13.2,26.4,9.3,9.3,0.44
34706,13.2,26.4,9.4,9.4,0.456
34707,13.2,26.4,9.5,9.5,0.513
34708,13.2,26.4,9.6,9.6,0.536
34709,13.2,26.4,9.7,9.7,0.588
34710,13.2,26.4,9.8,9.8,0.593
34711,13.2,26.4,9.9,9.9,0.62
34712,13.2,26.4,10,10,0.622
34713,13.2,26.4,10.1,10.1,0.692
34714,13.2,26.4,10.2,10.2,0.693
34715,13.2,26.4,10.3,10.3,0.723
34716,13.2,26.4,10.4,10.4,0.732
34717,13.2,26.4,10.5,10.5,0.755
34718,13.2,26.4,10.6,10.6,0.794
34719,13.2,26.4,10.7,10.7,0.798
34720,13.2,26.4,10.8,10.8,0.781
34721,13.2,26.4,10.9,10.9,0.78
34722,13.2,26.4,11,11,0.827
34723,13.2,26.4,11.1,11.1,0.814
34724,13.2,26.4,11.2,11.2,0.81
34725,13.2,26.4,11.3,11.3,0.808
34726,13.2,26.4,11.4,11.4,0.835
34727,13.2,26.4,11.5,11.5,0.842
34728,13.2,26.4,11.6,11.6,0.829
34729,13.2,26.4,11.7,11.7,0.829
34730,13.2,26.4,11.8,11.8,0.835
34731,13.2,26.4,11.9,11.9,0.855
34732,13.2,26.4,12,12,0.836
34733,13.2,26.4,12.1,12.1,0.85
34734,13.2,26.4,12.2,12.2,0.838
34735,13.2,26.4,12.3,12.3,0.84
34736,13.2,26.4,12.4,12.4,0.832
34737,13.2,26.4,12.5,12.5,0.828
34738,13.2,26.4,12.6,12.6,0.852
34739,13.2,26.4,12.7,12.7,0.844
34740,13.2,26.4,12.8,12.8,0.815
34741,13.2,26.4,12.9,12.9,0.812
34742,13.2,26.4,13,13,0.835
34743,13.2,26.4,13.1,13.1,0.818
34744,13.2,26.4,13.2,13.2,0.795
34745,13.2,26.4,13.3,13.3,0.786
34746,13.2,26.4,13.4,13.4,0.785
34747,13.2,26.4,13.5,13.5,0.764
34748,13.2,26.4,13.6,13.6,0.746
34749,13.2,26.4,13.7,13.7,0.721
34750,13.2,26.4,13.8,13.8,0.718
34751,13.2,26.4,13.9,13.9,0.696
34752,13.2,26.4,14,14,0.682
34753,13.2,26.4,14.1,14.1,0.632
34754,13.2,26.4,14.2,14.2,0.628
34755,13.2,26.4,14.3,14.3,0.564
34756,13.2,26.4,14.4,14.4,0.543
34757,13.2,26.4,14.5,14.5,0.499
34758,13.2,26.4,14.6,14.6,0.462
34759,13.2,26.4,14.7,14.7,0.451
34760,13.2,26.4,14.8,14.8,0.383
34761,13.2,26.4,14.9,14.9,0.35
34762,13.2,26.4,15,15,0.312
34763,13.2,26.4,15.1,15.1,0.312
34764,13.2,26.4,15.2,15.2,0.282
34765,13.2,26.4,15.3,15.3,0.26
34766,13.2,26.4,15.4,15.4,0.224
34767,13.2,26.4,15.5,15.5,0.197
34768,13.2,26.4,15.6,15.6,0.185
34769,13.2,26.4,15.7,15.7,0.179
34770,13.2,26.4,15.8,15.8,0.171
34771,13.2,26.4,15.9,15.9,0.147
34772,13.2,26.4,16,16,0.161
34773,13.3,26.6,-4,-4,0.095
34774,13.3,26.6,-3.9,-3.9,0.104
34775,13.3,26.6,-3.8,-3.8,0.087
34776,13.3,26.6,-3.7,-3.7,0.116
34777,13.3,26.6,-3.6,-3.6,0.096
34778,13.3,26.6,-3.5,-3.5,0.105
34779,13.3,26.6,-3.4,-3.4,0.094
34780,13.3,26.6,-3.3,-3.3,0.107
34781,13.3,26.6,-3.2,-3.2,0.105
34782,13.3,26.6,-3.1,-3.1,0.099
34783,13.3,26.6,-3,-3,0.079
34784,13.3,26.6,-2.9,-2.9,0.106
34785,13.3,26.6,-2.8,-2.8,0.115
34786,13.3,26.6,-2.7,-2.7,0.097
34787,13.3,26.6,-2.6,-2.6,0.105
34788,13.3,26.6,-2.5,-2.5,0.082
34789,13.3,26.6,-2.4,-2.4,0.092
34790,13.3,26.6,-2.3,-2.3,0.094
34791,13.3,26.6,-2.2,-2.2,0.101
34792,13.3,26.6,-2.1,-2.1,0.09
34793,13.3,26.6,-2,-2,0.101
34794,13.3,26.6,-1.9,-1.9,0.094
34795,13.3,26.6,-1.8,-1.8,0.115
34796,13.3,26.6,-1.7,-1.7,0.105
34797,13.3,26.6,-1.6,-1.6,0.101
34798,13.3,26.6,-1.5,-1.5,0.094
34799,13.3,26.6,-1.4,-1.4,0.097
34800,13.3,26.6,-1.3,-1.3,0.12
34801,13.3,26.6,-1.2,-1.2,0.11
34802,13.3,26.6,-1.1,-1.1,0.106
34803,13.3,26.6,-1,-1,0.101
34804,13.3,26.6,-0.9,-0.9,0.104
34805,13.3,26.6,-0.8,-0.8,0.108
34806,13.3,26.6,-0.7,-0.7,0.098
34807,13.3,26.6,-0.6,-0.6,0.094
34808,13.3,26.6,-0.5,-0.5,0.106
34809,13.3,26.6,-0.4,-0.4,0.087
34810,13.3,26.6,-0.3,-0.3,0.094
34811,13.3,26.6,-0.2,-0.2,0.096
34812,13.3,26.6,-0.1,-0.1,0.1
34813,13.3,26.6,0,0,0.087
34814,13.3,26.6,0.1,0.1,0.065
34815,13.3,26.6,0.2,0.2,0.095
34816,13.3,26.6,0.3,0.3,0.098
34817,13.3,26.6,0.4,0.4,0.108
34818,13.3,26.6,0.5,0.5,0.095
34819,13.3,26.6,0.6,0.6,0.109
34820,13.3,26.6,0.7,0.7,0.093
34821,13.3,26.6,0.8,0.8,0.085
34822,13.3,26.6,0.9,0.9,0.094
34823,13.3,26.6,1,1,0.097
34824,13.3,26.6,1.1,1.1,0.11
34825,13.3,26.6,1.2,1.2,0.106
34826,13.3,26.6,1.3,1.3,0.102
34827,13.3,26.6,1.4,1.4,0.102
34828,13.3,26.6,1.5,1.5,0.118
34829,13.3,26.6,1.6,1.6,0.099
34830,13.3,26.6,1.7,1.7,0.103
34831,13.3,26.6,1.8,1.8,0.098
34832,13.3,26.6,1.9,1.9,0.094
34833,13.3,26.6,2,2,0.104
34834,13.3,26.6,2.1,2.1,0.104
34835,13.3,26.6,2.2,2.2,0.104
34836,13.3,26.6,2.3,2.3,0.099
34837,13.3,26.6,2.4,2.4,0.097
34838,13.3,26.6,2.5,2.5,0.095
34839,13.3,26.6,2.6,2.6,0.102
34840,13.3,26.6,2.7,2.7,0.076
34841,13.3,26.6,2.8,2.8,0.107
34842,13.3,26.6,2.9,2.9,0.103
34843,13.3,26.6,3,3,0.112
34844,13.3,26.6,3.1,3.1,0.087
34845,13.3,26.6,3.2,3.2,0.092
34846,13.3,26.6,3.3,3.3,0.122
34847,13.3,26.6,3.4,3.4,0.105
34848,13.3,26.6,3.5,3.5,0.103
34849,13.3,26.6,3.6,3.6,0.101
34850,13.3,26.6,3.7,3.7,0.079
34851,13.3,26.6,3.8,3.8,0.098
34852,13.3,26.6,3.9,3.9,0.1
34853,13.3,26.6,4,4,0.082
34854,13.3,26.6,4.1,4.1,0.105
34855,13.3,26.6,4.2,4.2,0.081
34856,13.3,26.6,4.3,4.3,0.099
34857,13.3,26.6,4.4,4.4,0.099
34858,13.3,26.6,4.5,4.5,0.101
34859,13.3,26.6,4.6,4.6,0.103
34860,13.3,26.6,4.7,4.7,0.09
34861,13.3,26.6,4.8,4.8,0.098
34862,13.3,26.6,4.9,4.9,0.092
34863,13.3,26.6,5,5,0.113
34864,13.3,26.6,5.1,5.1,0.106
34865,13.3,26.6,5.2,5.2,0.09
34866,13.3,26.6,5.3,5.3,0.096
34867,13.3,26.6,5.4,5.4,0.091
34868,13.3,26.6,5.5,5.5,0.088
34869,13.3,26.6,5.6,5.6,0.125
34870,13.3,26.6,5.7,5.7,0.106
34871,13.3,26.6,5.8,5.8,0.099
34872,13.3,26.6,5.9,5.9,0.114
34873,13.3,26.6,6,6,0.099
34874,13.3,26.6,6.1,6.1,0.089
34875,13.3,26.6,6.2,6.2,0.096
34876,13.3,26.6,6.3,6.3,0.111
34877,13.3,26.6,6.4,6.4,0.084
34878,13.3,26.6,6.5,6.5,0.112
34879,13.3,26.6,6.6,6.6,0.097
