$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
4.7,2.0,0.5,2.0,0.326
14.4,2.0,0.2,2.0,0.21
4.2,2.0,0.0,2.0,0.427
13.0,2.0,-0.8,2.0,0.209
11.0,2.0,-2.3,2.0,0.222
-1.0,2.0,-3.5,2.0,0.869
9.6,2.0,-3.3,2.0,0.222
1.9,2.0,-1.5,2.0,0.809
10.3,2.0,-2.8,2.0,0.222
13.7,2.0,-0.3,2.0,0.209
12.5,2.0,-1.3,2.0,0.194
-0.2,2.0,-3.0,2.0,0.858
-1.5,2.0,-4.0,2.0,0.867
8.8,2.0,-3.8,2.0,0.197
2.5,2.0,-1.0,2.0,0.762
11.6,2.0,-1.8,2.0,0.209
0.5,2.0,-2.5,2.0,0.843
15.1,2.0,0.7,2.0,0.194
13.1,2.0,-0.8,2.0,0.222
3.4,2.0,-0.5,2.0,0.645
1.1,2.0,-2.0,2.0,0.828
14.5,2.0,0.2,2.0,0.22
11.1,2.0,-2.3,2.0,0.194
4.8,2.0,0.5,2.0,0.309
4.3,2.0,0.0,2.0,0.412
2.0,2.0,-1.5,2.0,0.806
-0.9,2.0,-3.5,2.0,0.875
9.7,2.0,-3.3,2.0,0.194
12.6,2.0,-1.3,2.0,0.166
13.8,2.0,-0.3,2.0,0.222
11.7,2.0,-1.8,2.0,0.222
2.6,2.0,-1.0,2.0,0.762
8.9,2.0,-3.8,2.0,0.187
-0.1,2.0,-3.0,2.0,0.879
-1.4,2.0,-4.0,2.0,0.856
13.2,2.0,-0.8,2.0,0.194
10.4,2.0,-2.8,2.0,0.194
3.5,2.0,-0.5,2.0,0.617
0.6,2.0,-2.5,2.0,0.843
14.6,2.0,0.2,2.0,0.196
15.2,2.0,0.7,2.0,0.18
1.2,2.0,-2.0,2.0,0.829
4.9,2.0,0.5,2.0,0.304
11.2,2.0,-2.3,2.0,0.166
2.1,2.0,-1.5,2.0,0.821
4.4,2.0,0.0,2.0,0.401
12.7,2.0,-1.3,2.0,0.2
-0.8,2.0,-3.5,2.0,0.852
13.9,2.0,-0.3,2.0,0.194
0.0,2.0,-3.0,2.0,0.843
11.8,2.0,-1.8,2.0,0.194
-1.3,2.0,-4.0,2.0,0.858
9.8,2.0,-3.3,2.0,0.166
2.7,2.0,-1.0,2.0,0.767
9.0,2.0,-3.8,2.0,0.182
13.3,2.0,-0.8,2.0,0.166
14.7,2.0,0.2,2.0,0.165
10.5,2.0,-2.8,2.0,0.166
11.3,2.0,-2.3,2.0,0.2
1.3,2.0,-2.0,2.0,0.832
0.7,2.0,-2.5,2.0,0.864
3.6,2.0,-0.5,2.0,0.593
5.0,2.0,0.5,2.0,0.271
15.3,2.0,0.7,2.0,0.208
0.1,2.0,-3.0,2.0,0.869
2.2,2.0,-1.5,2.0,0.775
9.9,2.0,-3.3,2.0,0.201
-0.7,2.0,-3.5,2.0,0.874
4.5,2.0,0.0,2.0,0.375
-1.2,2.0,-4.0,2.0,0.85
14.0,2.0,-0.3,2.0,0.166
13.4,2.0,-0.8,2.0,0.2
12.8,2.0,-1.3,2.0,0.185
11.9,2.0,-1.8,2.0,0.166
2.8,2.0,-1.0,2.0,0.76
3.7,2.0,-0.5,2.0,0.575
9.1,2.0,-3.8,2.0,0.201
14.8,2.0,0.2,2.0,0.201
10.6,2.0,-2.8,2.0,0.2
5.1,2.0,0.5,2.0,0.273
11.4,2.0,-2.3,2.0,0.185
1.4,2.0,-2.0,2.0,0.829
0.8,2.0,-2.5,2.0,0.843
-0.6,2.0,-3.5,2.0,0.853
15.4,2.0,0.7,2.0,0.194
2.3,2.0,-1.5,2.0,0.805
-1.1,2.0,-4.0,2.0,0.868
0.2,2.0,-3.0,2.0,0.861
10.0,2.0,-3.3,2.0,0.185
12.9,2.0,-1.3,2.0,0.203
14.1,2.0,-0.3,2.0,0.2
10.7,2.0,-2.8,2.0,0.185
13.5,2.0,-0.8,2.0,0.185
4.6,2.0,0.0,2.0,0.343
2.9,2.0,-1.0,2.0,0.743
9.2,2.0,-3.8,2.0,0.201
12.0,2.0,-1.8,2.0,0.2
3.8,2.0,-0.5,2.0,0.559
14.9,2.0,0.2,2.0,0.185
5.2,2.0,0.5,2.0,0.243
-0.5,2.0,-3.5,2.0,0.849
0.9,2.0,-2.5,2.0,0.854
11.5,2.0,-2.3,2.0,0.203
1.5,2.0,-2.0,2.0,0.83
-1.0,2.0,-4.0,2.0,0.854
2.4,2.0,-1.5,2.0,0.799
10.1,2.0,-3.3,2.0,0.202
15.5,2.0,0.7,2.0,0.204
0.3,2.0,-3.0,2.0,0.852
4.7,2.0,0.0,2.0,0.326
13.6,2.0,-0.8,2.0,0.203
14.2,2.0,-0.3,2.0,0.185
10.8,2.0,-2.8,2.0,0.203
12.1,2.0,-1.8,2.0,0.185
3.9,2.0,-0.5,2.0,0.508
13.0,2.0,-1.3,2.0,0.184
3.0,2.0,-1.0,2.0,0.711
5.3,2.0,0.5,2.0,0.271
9.3,2.0,-3.8,2.0,0.203
15.0,2.0,0.2,2.0,0.201
11.6,2.0,-2.3,2.0,0.184
-0.4,2.0,-3.5,2.0,0.868
1.0,2.0,-2.5,2.0,0.835
1.6,2.0,-2.0,2.0,0.801
-0.9,2.0,-4.0,2.0,0.88
4.8,2.0,0.0,2.0,0.31
2.5,2.0,-1.5,2.0,0.803
5.4,2.0,0.5,2.0,0.236
10.2,2.0,-3.3,2.0,0.184
15.6,2.0,0.7,2.0,0.211
0.4,2.0,-3.0,2.0,0.861
13.1,2.0,-1.3,2.0,0.196
3.1,2.0,-1.0,2.0,0.717
10.9,2.0,-2.8,2.0,0.184
13.7,2.0,-0.8,2.0,0.184
12.2,2.0,-1.8,2.0,0.203
4.0,2.0,-0.5,2.0,0.509
14.3,2.0,-0.3,2.0,0.203
15.1,2.0,0.2,2.0,0.186
11.7,2.0,-2.3,2.0,0.196
9.4,2.0,-3.8,2.0,0.22
-0.3,2.0,-3.5,2.0,0.856
4.9,2.0,0.0,2.0,0.312
1.1,2.0,-2.5,2.0,0.816
1.7,2.0,-2.0,2.0,0.799
5.5,2.0,0.5,2.0,0.247
2.6,2.0,-1.5,2.0,0.76
-0.8,2.0,-4.0,2.0,0.864
5.0,2.0,0.0,2.0,0.303
15.7,2.0,0.7,2.0,0.214
12.3,2.0,-1.8,2.0,0.184
9.5,2.0,-3.8,2.0,0.178
0.5,2.0,-3.0,2.0,0.838
10.3,2.0,-3.3,2.0,0.196
11.0,2.0,-2.8,2.0,0.196
14.4,2.0,-0.3,2.0,0.184
13.2,2.0,-1.3,2.0,0.218
15.2,2.0,0.2,2.0,0.196
3.2,2.0,-1.0,2.0,0.714
4.1,2.0,-0.5,2.0,0.489
13.8,2.0,-0.8,2.0,0.196
11.8,2.0,-2.3,2.0,0.218
1.2,2.0,-2.5,2.0,0.845
2.7,2.0,-1.5,2.0,0.749
-0.2,2.0,-3.5,2.0,0.873
5.6,2.0,0.5,2.0,0.229
5.1,2.0,0.0,2.0,0.247
1.8,2.0,-2.0,2.0,0.819
-0.7,2.0,-4.0,2.0,0.877
9.6,2.0,-3.8,2.0,0.195
