$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-1.4,0.6000000000000001,-2.5,-2.5,0.257
2.1,4.1,0.0,0.0,0.153
12.5,14.5,0.2,0.2,0.105
6.9,8.9,-3.8,-3.8,0.105
13.2,15.2,0.7,0.7,0.105
2.8,4.8,0.5,0.5,0.153
0.7,2.7,-1.0,-1.0,0.201
-0.6,1.4,-2.0,-2.0,0.209
9.8,11.8,-1.8,-1.8,0.102
0.1,2.1,-1.5,-1.5,0.201
-3.4,-1.4,-4.0,-4.0,0.421
11.3,13.3,-0.8,-0.8,0.099
-2.0,0.0,-3.0,-3.0,0.306
1.5,3.5,-0.5,-0.5,0.172
10.5,12.5,-1.3,-1.3,0.102
-1.3,0.7,-2.5,-2.5,0.241
8.4,10.4,-2.8,-2.8,0.102
9.1,11.1,-2.3,-2.3,0.102
7.7,9.7,-3.3,-3.3,0.102
11.9,13.9,-0.3,-0.3,0.102
-2.7,-0.7000000000000002,-3.5,-3.5,0.334
9.9,11.9,-1.8,-1.8,0.099
2.2,4.2,0.0,0.0,0.167
-1.9,0.10000000000000009,-3.0,-3.0,0.285
13.3,15.3,0.7,0.7,0.102
12.6,14.6,0.2,0.2,0.102
2.9,4.9,0.5,0.5,0.141
7.0,9.0,-3.8,-3.8,0.102
0.2,2.2,-1.5,-1.5,0.203
11.4,13.4,-0.8,-0.8,0.094
0.8,2.8,-1.0,-1.0,0.185
-3.3,-1.2999999999999998,-4.0,-4.0,0.386
-0.5,1.5,-2.0,-2.0,0.232
7.8,9.8,-3.3,-3.3,0.099
9.2,11.2,-2.3,-2.3,0.099
10.6,12.6,-1.3,-1.3,0.099
1.6,3.6,-0.5,-0.5,0.176
12.0,14.0,-0.3,-0.3,0.099
8.5,10.5,-2.8,-2.8,0.099
-1.2,0.8,-2.5,-2.5,0.229
13.4,15.4,0.7,0.7,0.099
-2.6,-0.6000000000000001,-3.5,-3.5,0.315
10.0,12.0,-1.8,-1.8,0.094
12.7,14.7,0.2,0.2,0.099
-1.8,0.19999999999999996,-3.0,-3.0,0.272
2.3,4.3,0.0,0.0,0.191
7.1,9.1,-3.8,-3.8,0.099
-3.2,-1.2000000000000002,-4.0,-4.0,0.326
0.3,2.3,-1.5,-1.5,0.215
11.5,13.5,-0.8,-0.8,0.103
3.0,5.0,0.5,0.5,0.135
-0.4,1.6,-2.0,-2.0,0.212
