$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-1.3,0.7,-3.0,-1.0,0.578
0.1,2.1,-2.0,0.0,0.469
13.9,15.9,0.7,2.7,0.1
3.6,5.6,0.5,2.5,0.232
9.0,11.0,-2.8,-0.7999999999999998,0.1
7.7,9.7,-3.8,-1.7999999999999998,0.097
9.7,11.7,-2.3,-0.2999999999999998,0.1
0.7,2.7,-1.5,0.5,0.42
13.2,15.2,0.2,2.2,0.1
-2.8,-0.7999999999999998,-4.0,-2.0,0.723
-2.0,0.0,-3.5,-1.5,0.644
2.8,4.8,0.0,2.0,0.282
10.4,12.4,-1.8,0.19999999999999996,0.1
1.5,3.5,-1.0,1.0,0.343
-0.7,1.3,-2.5,-0.5,0.595
12.6,14.6,-0.3,1.7,0.097
11.2,13.2,-1.3,0.7,0.097
8.4,10.4,-3.3,-1.2999999999999998,0.097
-1.2,0.8,-3.0,-1.0,0.567
2.2,4.2,-0.5,1.5,0.307
3.7,5.7,0.5,2.5,0.228
14.0,16.0,0.7,2.7,0.097
11.8,13.8,-0.8,1.2,0.1
0.2,2.2,-2.0,0.0,0.465
9.1,11.1,-2.8,-0.7999999999999998,0.097
13.3,15.3,0.2,2.2,0.097
-2.7,-0.7000000000000002,-4.0,-2.0,0.689
9.8,11.8,-2.3,-0.2999999999999998,0.097
0.8,2.8,-1.5,0.5,0.383
7.8,9.8,-3.8,-1.7999999999999998,0.096
2.9,4.9,0.0,2.0,0.253
12.7,14.7,-0.3,1.7,0.096
-1.9,0.10000000000000009,-3.5,-1.5,0.634
-1.1,0.8999999999999999,-3.0,-1.0,0.507
1.6,3.6,-1.0,1.0,0.336
10.5,12.5,-1.8,0.19999999999999996,0.097
-0.6,1.4,-2.5,-0.5,0.551
8.5,10.5,-3.3,-1.2999999999999998,0.096
11.3,13.3,-1.3,0.7,0.096
11.9,13.9,-0.8,1.2,0.097
14.1,16.1,0.7,2.7,0.096
0.3,2.3,-2.0,0.0,0.42
2.3,4.3,-0.5,1.5,0.295
0.9,2.9,-1.5,0.5,0.365
3.8,5.8,0.5,2.5,0.217
13.4,15.4,0.2,2.2,0.096
9.2,11.2,-2.8,-0.7999999999999998,0.096
-2.6,-0.6000000000000001,-4.0,-2.0,0.665
12.8,14.8,-0.3,1.7,0.094
9.9,11.9,-2.3,-0.2999999999999998,0.096
7.9,9.9,-3.8,-1.7999999999999998,0.094
3.0,5.0,0.0,2.0,0.243
-1.8,0.19999999999999996,-3.5,-1.5,0.59
1.7,3.7,-1.0,1.0,0.306
-1.0,1.0,-3.0,-1.0,0.497
10.6,12.6,-1.8,0.19999999999999996,0.096
8.6,10.6,-3.3,-1.2999999999999998,0.094
14.2,16.2,0.7,2.7,0.094
12.0,14.0,-0.8,1.2,0.096
-0.5,1.5,-2.5,-0.5,0.485
1.0,3.0,-1.5,0.5,0.346
11.4,13.4,-1.3,0.7,0.094
13.5,15.5,0.2,2.2,0.094
12.9,14.9,-0.3,1.7,0.097
10.0,12.0,-2.3,-0.2999999999999998,0.094
0.4,2.4,-2.0,0.0,0.377
2.4,4.4,-0.5,1.5,0.27
9.3,11.3,-2.8,-0.7999999999999998,0.094
3.9,5.9,0.5,2.5,0.199
8.0,10.0,-3.8,-1.7999999999999998,0.097
-1.7,0.30000000000000004,-3.5,-1.5,0.57
-2.5,-0.5,-4.0,-2.0,0.67
3.1,5.1,0.0,2.0,0.211
10.7,12.7,-1.8,0.19999999999999996,0.094
1.8,3.8,-1.0,1.0,0.26
12.1,14.1,-0.8,1.2,0.094
8.7,10.7,-3.3,-1.2999999999999998,0.097
11.5,13.5,-1.3,0.7,0.097
-0.9,1.1,-3.0,-1.0,0.469
14.3,16.3,0.7,2.7,0.097
-0.4,1.6,-2.5,-0.5,0.463
1.1,3.1,-1.5,0.5,0.324
