$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
5.6,2.0,-2.6,2.0,0.219
3.8,2.0,-2.9,2.0,0.567
3.2,2.0,-3.0,2.0,0.68
-3.9,2.0,-2.4,2.0,0.882
0.3,2.0,-1.7,2.0,0.839
-3.3,2.0,-2.3,2.0,0.895
2.0,2.0,-3.2,2.0,0.794
1.0,2.0,-1.6,2.0,0.848
0.3,2.0,-3.5,2.0,0.832
-0.2,2.0,-1.8,2.0,0.857
-0.9,2.0,-3.7,2.0,0.865
-0.8,2.0,-1.9,2.0,0.869
5.7,2.0,-2.6,2.0,0.211
3.9,2.0,-2.9,2.0,0.537
3.3,2.0,-3.0,2.0,0.671
0.4,2.0,-1.7,2.0,0.857
-3.8,2.0,-2.4,2.0,0.855
-3.2,2.0,-2.3,2.0,0.863
2.1,2.0,-3.2,2.0,0.817
1.1,2.0,-1.6,2.0,0.847
0.4,2.0,-3.5,2.0,0.866
-0.1,2.0,-1.8,2.0,0.853
-0.8,2.0,-3.7,2.0,0.88
-0.7,2.0,-1.9,2.0,0.879
5.8,2.0,-2.6,2.0,0.222
4.0,2.0,-2.9,2.0,0.486
3.4,2.0,-3.0,2.0,0.651
0.5,2.0,-1.7,2.0,0.854
-3.1,2.0,-2.3,2.0,0.847
-3.7,2.0,-2.4,2.0,0.85
2.2,2.0,-3.2,2.0,0.764
1.2,2.0,-1.6,2.0,0.844
0.5,2.0,-3.5,2.0,0.85
0.0,2.0,-1.8,2.0,0.861
-0.7,2.0,-3.7,2.0,0.858
-0.6,2.0,-1.9,2.0,0.852
4.1,2.0,-2.9,2.0,0.459
5.9,2.0,-2.6,2.0,0.219
0.6,2.0,-1.7,2.0,0.86
-3.0,2.0,-2.3,2.0,0.868
3.5,2.0,-3.0,2.0,0.609
-3.6,2.0,-2.4,2.0,0.865
2.3,2.0,-3.2,2.0,0.771
1.3,2.0,-1.6,2.0,0.829
0.1,2.0,-1.8,2.0,0.852
-0.6,2.0,-3.7,2.0,0.864
0.6,2.0,-3.5,2.0,0.853
-0.5,2.0,-1.9,2.0,0.872
4.2,2.0,-2.9,2.0,0.44
6.0,2.0,-2.6,2.0,0.221
-2.9,2.0,-2.3,2.0,0.869
0.7,2.0,-1.7,2.0,0.853
3.6,2.0,-3.0,2.0,0.615
-3.5,2.0,-2.4,2.0,0.851
2.4,2.0,-3.2,2.0,0.792
1.4,2.0,-1.6,2.0,0.824
0.2,2.0,-1.8,2.0,0.858
-0.5,2.0,-3.7,2.0,0.852
0.7,2.0,-3.5,2.0,0.835
-0.4,2.0,-1.9,2.0,0.856
-4.0,2.0,-2.5,2.0,0.87
4.3,2.0,-2.9,2.0,0.398
-2.8,2.0,-2.3,2.0,0.855
0.8,2.0,-1.7,2.0,0.852
3.7,2.0,-3.0,2.0,0.548
2.5,2.0,-3.2,2.0,0.775
-3.4,2.0,-2.4,2.0,0.862
1.5,2.0,-1.6,2.0,0.824
0.3,2.0,-1.8,2.0,0.876
-0.4,2.0,-3.7,2.0,0.869
0.8,2.0,-3.5,2.0,0.843
-0.3,2.0,-1.9,2.0,0.856
-3.9,2.0,-2.5,2.0,0.87
4.4,2.0,-2.9,2.0,0.395
-2.7,2.0,-2.3,2.0,0.868
0.9,2.0,-1.7,2.0,0.832
2.6,2.0,-3.2,2.0,0.797
3.8,2.0,-3.0,2.0,0.582
-3.3,2.0,-2.4,2.0,0.864
1.6,2.0,-1.6,2.0,0.817
0.4,2.0,-1.8,2.0,0.855
-0.3,2.0,-3.7,2.0,0.863
